CostVariables,,,,,,,,,,,
StaffCostHour,20,,,,,,,,,,
FixedCostsCar,0,,,,,,,,,,
FixedCostsPt,11.8,,,,,,,,,,
CarCostsP_km,0.34,(0.56 p/mile),,,,,,,,,
JourneyData,,,,,,,,,,,
From,x,y,To,x,y,CarEm,CarTime,PtEm,PtTime,WalkDist,carDist
E3 5AT,51.527998,-0.035217,BR1 1BQ,51.408139,0.015834,11.75648024,45.67474784,11.83057855,105,-1,18.0415254
SW2 1LR,51.45674,-0.113504,SE4 1YB,51.465709,-0.026866,7.389787576,20.06898409,2.372530592,78,-1,7.927248716
W6 9RH,51.535984,-0.194754,SE12 8PB,51.454711,0.005953,16.79497176,47.82025688,10.89003566,120,-1,18.88900147
SW11 4LG,51.475275,-0.150842,SE3 7DF,51.475516,0.022994,13.77187685,37.35463552,10.37198762,86,-1,14.75508103
E6 2NS,51.535175,0.062667,SE19 3NF,51.422435,-0.105294,18.13856951,60.10902028,8.252194608,96,-1,23.74306301
SW1H 9HP,51.501001,-0.130911,SE22 8HA,51.454919,-0.076731,7.725687012,18.91409637,2.847523973,72,-1,7.471068065
SE4 1QR,51.463509,-0.035628,SE16 6AU,51.500401,-0.043407,8.733385317,14.52540066,0.931910649,37,-1,5.737533261
SE12 8BP,51.451997,0.026286,SE1 4QA,51.498117,-0.083716,6.717988706,26.73242498,4.127424513,64,-1,10.55930787
SE23 3NN,51.44797,-0.049132,SE12 8BP,51.451997,0.026286,4.702592094,18.01593932,2.464970018,60,-1,7.116296032
SE28 8LW,51.508975,0.117888,SE15 5SZ,51.475094,-0.066594,14.77957515,40.180001,7.42132344,78,-1,15.8711004
SE22 8AD,51.464181,-0.082748,SE15 4HA,51.463758,-0.0668,2.015396612,4.202178558,0.510849019,24,-1,1.65986053
SE26 6HP,51.426178,-0.061956,SE20 8LB,51.411851,-0.059126,3.023094918,5.250038684,0.645196001,31,-1,2.07376528
SE15 4DA,51.462937,-0.077042,SE2 0EF,51.498497,0.10445,19.48216725,40.35312826,7.481930981,83,-1,15.93948566
SE26 6HP,51.426178,-0.061956,SE2 0EF,51.498497,0.10445,18.13856951,44.54083998,7.812032441,83,-1,17.59363179
SE16 6AU,51.500401,-0.043407,W2 1EB,51.566901,-0.209532,14.10777628,45.60769184,5.17802056,43,-1,18.01503828
W1U 4ED,51.518776,-0.153376,SE26 6HP,51.426178,-0.061956,14.77957515,39.64145822,7.250449638,93,-1,15.658376
W3 7TB,51.558951,-0.19246,SE2 0EF,51.498497,0.10445,17.46677063,70.73523781,13.86600947,103,-1,27.94041893
SE25 4TY,51.401113,-0.067804,E11 1DZ,51.569612,-0.003582,18.81036838,60.57986949,12.79108523,130,-1,23.92904845
SE12 8PB,51.454711,0.005953,SE12 8SS,51.455336,0.012558,2.351296047,2.998731653,0,8,-1,1.184499003
W5 5JY,51.51279,-0.302995,SW18 9SL,51.457384,-0.190862,10.41288249,36.3775905,6.765661254,71,-1,14.36914825
SE15 4HA,51.463758,-0.0668,W2 1EB,51.566901,-0.209532,16.79497176,46.85318424,5.71370951,58,-1,18.50700777
E18 2JF,51.593824,0.01827,SE22 8RP,51.457684,-0.077003,14.77957515,59.23894013,10.20381323,88,-1,23.39938135
SW2 1LR,51.45674,-0.113504,SM6 8SW,51.361415,-0.146037,9.741083623,33.97517556,7.854684399,78,-1,13.42019435
SE12 9QB,51.435783,0.026763,SE1 6TJ,51.494747,-0.098768,8.061586447,32.01159848,5.920000676,59,-1,12.6445814
SE9 5QR,51.44146,0.050412,SE22 8RP,51.457684,-0.077003,6.38208927,30.35085384,5.468341346,61,-1,11.98858727
IG11 0RJ,51.5312,0.120679,E6 2NS,51.535175,0.062667,5.7102904,13.36625218,1.875673129,48,-1,5.279669612
SE15 4DA,51.462937,-0.077042,SW1P 4PX,51.489465,-0.130389,8.061586447,14.41605459,2.965247149,64,-1,5.694341563
W1T 3QG,51.51701,-0.137794,SE22 8AD,51.464181,-0.082748,10.07698306,22.81546593,3.475849147,68,-1,9.012109042
SW1H 9EU,51.499117,-0.136824,SE15 6TE,51.480644,-0.067814,7.389787576,15.9715696,1.702241789,62,-1,6.308769991
SE8 4HZ,51.471391,-0.024115,W3 7JU,51.508973,-0.250654,16.45907233,51.03099585,9.90351646,88,-1,20.15724336
SE25 5PD,51.38934,-0.090176,E6 2NS,51.535175,0.062667,16.45907233,60.70024406,10.73863997,85,-1,23.9765964
SW2 1LR,51.45674,-0.113504,EN2 0DY,51.666493,-0.080465,17.80267007,65.90664777,14.76596621,129,-1,26.03312587
SE13 7TW,51.465336,-0.021253,N13 4HP,51.616427,-0.121825,17.46677063,60.30450022,12.18774962,113,-1,23.82027759
SE6 1ES,51.439774,-0.0104,E6 6AQ,51.525592,0.063488,9.069284753,44.01440999,11.7408217,141,-1,17.38569195
SE15 4HA,51.463758,-0.0668,SE26 6BP,51.424959,-0.064942,5.374390965,12.83466683,2.054576076,52,-1,5.069693397
SE12 8BP,51.451997,0.026286,W1T 3QG,51.51701,-0.137794,14.44367572,38.74752556,6.350279468,76,-1,15.3052726
SE23 3NA,51.445051,-0.052005,SE22 8AD,51.464181,-0.082748,5.038491529,10.08222445,1.497325949,43,-1,3.982478657
IG11 0RJ,51.5312,0.120679,E6 2NF,51.536121,0.060503,5.374390965,13.72583632,2.227727337,53,-1,5.421705346
SE23 3NA,51.445051,-0.052005,W2 1EB,51.566901,-0.209532,19.81806668,57.11867752,7.230466068,56,-1,22.56187762
E18 2JF,51.593824,0.01827,SM5 4PB,51.350379,-0.170508,19.81806668,92.32459117,14.95171769,141,-1,36.46821351
SE1 6TJ,51.494747,-0.098768,SE12 9TZ,51.432583,0.027743,9.405184188,34.8659095,4.962915702,55,-1,13.77203425
SE1 2SS,51.506106,-0.087199,SE15 4DA,51.462937,-0.077042,5.374390965,15.73817014,2.049403453,45,-1,6.216577204
SW2 1LR,51.45674,-0.113504,SE25 5PD,51.38934,-0.090176,6.717988706,22.84890193,4.003053662,68,-1,9.025316263
SW2 2AD,51.450971,-0.121039,SE13 6TZ,51.446221,-0.004004,7.389787576,25.03144116,6.856335936,84,-1,9.887419257
SE25 4TY,51.401113,-0.067804,W3 7TB,51.558951,-0.19246,20.15396612,61.43500172,9.32695469,85,-1,24.26682568
SE23 3NN,51.44797,-0.049132,BR1 1BQ,51.408139,0.015834,6.046189835,21.38462853,3.755903102,87,-1,8.44692827
SW2 2AD,51.450971,-0.121039,SE6 3TJ,51.434954,-0.023113,7.053888141,24.160208,6.387919855,100,-1,9.543282158
SE21 8BX,51.431052,-0.089875,SE15 6TE,51.480644,-0.067814,8.397485882,17.4612252,3.0729078,65,-1,6.897183955
W1H 7JB,51.514839,-0.158666,N13 4HP,51.616427,-0.121825,8.061586447,40.66037373,7.257246612,78,-1,16.06084762
E6 9SY,51.532761,0.055219,SE15 6TE,51.480644,-0.067814,6.717988706,31.27915717,7.986424074,96,-1,12.35526708
SE24 0EF,51.454033,-0.104576,NW6 3AA,51.541873,-0.190584,13.43597741,33.11663341,6.649515697,65,-1,13.0810702
N1 9JP,51.651933,-0.077091,SW1P 4PX,51.489465,-0.130389,18.13856951,57.23562136,2.098483582,42,-1,22.60807044
SE12 9QB,51.435783,0.026763,E7 8EA,51.546847,0.036411,9.405184188,44.01651057,9.33034194,94,-1,17.38652168
BR1 1BQ,51.408139,0.015834,W3 7JU,51.508973,-0.250654,19.14626781,68.12589466,14.42036698,130,-1,26.90972839
SE14 5TJ,51.469307,-0.046235,E7 8DT,51.544112,0.034429,10.07698306,36.5813932,7.238641563,99,-1,14.44965031
SE8 4HZ,51.471391,-0.024115,SM6 8SW,51.361415,-0.146037,18.13856951,51.55547143,9.330805015,115,-1,20.36441122
SE1 1GE,51.503839,-0.092121,N1 9JP,51.651933,-0.077091,13.77187685,47.52309121,1.576775949,40,-1,18.77162103
SE19 3NF,51.422435,-0.105294,SE18 7BZ,51.490921,0.071372,16.45907233,46.75327736,9.573468599,87,-1,18.46754456
NW10 9UL,51.544184,-0.24567,SE1 4QA,51.498117,-0.083716,13.43597741,36.61421862,7.350309435,69,-1,14.46261636
SE1 1GE,51.503839,-0.092121,N1 9JJ,51.651933,-0.077091,13.77187685,47.52309121,2.52090725,39,-1,18.77162103
SE16 5QU,51.504227,-0.048517,W1S 2HU,51.512255,-0.141361,10.07698306,21.79679397,2.9068034,63,-1,8.60973362
SW1H 9HP,51.501001,-0.130911,SE9 5DL,51.450285,0.055917,11.75648024,39.21510641,7.563662032,72,-1,15.48996703
SE1 2SS,51.506106,-0.087199,IG5 0RW,51.596486,0.060159,10.74878193,46.02749832,10.12502919,76,-1,18.18086184
SE24 0EF,51.454033,-0.104576,SE17 3RD,51.487667,-0.104147,6.046189835,13.13274987,1.788711657,39,-1,5.187436199
SE11 6PT,51.492973,-0.115869,SM5 4PB,51.350379,-0.170508,11.4205808,52.00461165,7.169012222,110,-1,20.5418216
SE24 0EF,51.454033,-0.104576,SE28 8LW,51.508975,0.117888,19.14626781,51.08234684,12.44889978,97,-1,20.177527
N1 9JJ,51.651933,-0.077091,SE25 4XL,51.399524,-0.07999,19.14626781,81.6740441,8.853248425,95,-1,32.26124742
SE15 5SZ,51.475094,-0.066594,SE13 7TW,51.465336,-0.021253,5.038491529,10.44149114,1.466335492,34,-1,4.124389002
SE25 5PD,51.38934,-0.090176,E6 2PX,51.531854,0.064319,16.12317289,61.01394931,11.7805253,85,-1,24.10050998
W1J 8PD,51.507805,-0.144827,SE17 3RD,51.487667,-0.104147,6.38208927,13.51476789,2.219360013,35,-1,5.338333317
SE26 6HP,51.426178,-0.061956,E6 2NS,51.535175,0.062667,15.45137402,49.96030249,8.752832158,76,-1,19.73431948
SE15 5SZ,51.475094,-0.066594,SE4 1YB,51.465709,-0.026866,4.366692659,10.02495077,1.355720024,34,-1,3.959855556
SE5 8PF,51.471194,-0.084326,SE4 1YB,51.465709,-0.026866,4.702592094,13.68901595,1.850468057,47,-1,5.4071613
E6 6AQ,51.525592,0.063488,SE7 8NE,51.491891,0.035502,7.389787576,29.20875501,3.566422254,101,-1,11.53745823
IG5 0RW,51.596486,0.060159,SE15 4HA,51.463758,-0.0668,14.77957515,57.24629535,12.6537986,111,-1,22.61228666
SE26 6HP,51.426178,-0.061956,E6 2NF,51.536121,0.060503,15.11547459,49.81979582,8.478084513,72,-1,19.67881935
SE4 1QR,51.463509,-0.035628,SE22 8AD,51.464181,-0.082748,5.374390965,11.59584957,1.921738694,42,-1,4.58036058
SW1H 9HP,51.501001,-0.130911,NW4 3DE,51.581401,-0.228173,7.725687012,33.74774373,6.845943283,48,-1,13.33035877
SW1H 9HP,51.501001,-0.130911,NW4 3DH,51.580454,-0.227401,7.389787576,33.3747103,6.845943283,49,-1,13.18301057
W2 1EB,51.566901,-0.209532,E6 6AQ,51.525592,0.063488,11.08468136,82.48770616,9.439317994,97,-1,32.58264393
N1 9JP,51.651933,-0.077091,W5 5JY,51.51279,-0.302995,0,0,7.310920475,50,-1,0
SE8 4HZ,51.471391,-0.024115,SE4 1YB,51.465709,-0.026866,2.015396612,2.099059228,0,13,-1,0.829128395
NW4 2JT,51.588442,-0.211572,SE22 8AD,51.464181,-0.082748,14.10777628,48.93988195,9.403926248,93,-1,19.33125337
E6 9SN,51.532761,0.055219,E7 8DT,51.544112,0.034429,2.015396612,6.764767995,0.990264954,30,-1,2.672083358
NW4 2DH,51.586223,-0.221172,SE12 0JQ,51.441768,0.01871,17.80267007,68.81749172,11.36936866,123,-1,27.18290923
NW10 9UL,51.544184,-0.24567,W1T 3QG,51.51701,-0.137794,7.725687012,24.03107465,5.149109346,58,-1,9.492274488
SE17 1TS,51.490383,-0.084199,SE18 7BZ,51.490921,0.071372,12.76417854,37.09832977,5.947938669,59,-1,14.65384026
SE7 8NE,51.491891,0.035502,E6 9SN,51.532761,0.055219,7.389787576,28.74123071,4.162076383,100,-1,11.35278613
W5 5RN,51.50431,-0.304247,W3 7TB,51.558951,-0.19246,7.389787576,38.43771921,1.655392774,50,-1,15.18289909
SE7 8NE,51.491891,0.035502,E6 9SY,51.532761,0.055219,7.389787576,28.74123071,4.162076383,100,-1,11.35278613
SE1 2SS,51.506106,-0.087199,NW4 3DH,51.580454,-0.227401,9.405184188,39.90487704,7.385830279,49,-1,15.76242643
SE22 8HA,51.454919,-0.076731,SE23 3NA,51.445051,-0.052005,3.023094918,6.594365151,0.705008833,31,-1,2.604774235
