blon-r0-0
This is a note to me
times,4,,15,30,45,60,
windows,8,,20140610T090000,20140610T10000,20140610T100000,20140610T110000,20140610T110000,20140610T120000,20140610T120000,20140610T130000,20140610T130000,20140610T140000,20140610T140000,20140610T150000,20140610T150000,20140610T160000,20140610T160000,20140610T170000,

GIS,TfL
						
Depot Section
						
Depot,SE13 7TW,This is the location from which all vehicles start/finish				
CommenceTime,20140610T090000	This is the start time for all vehicles				
						
Customer Section						
	Name,Location,Window Start,Window End,Visit length (mins)	
Visit,v0,SE26 6HP,20140610T100000,20140610T110000,45
Visit,v1,SE23 3NA,20140610T100000,20140610T110000,15
Visit,v2,W6 9RH,20140610T140000,20140610T150000,30
Visit,v3,W1T 3QG,20140610T140000,20140610T150000,15
Visit,v4,SW17 0JZ,20140610T090000,20140610T10000,15
Visit,v5,SE19 3DX,20140610T100000,20140610T110000,60
Visit,v6,SE12 0JQ,20140610T130000,20140610T140000,60
Visit,v7,W3 7TB,20140610T100000,20140610T110000,60
Visit,v8,SE14 5TJ,20140610T150000,20140610T160000,60
Visit,v9,W6 9RW,20140610T100000,20140610T110000,60
Visit,v10,SW1H 9HP,20140610T120000,20140610T130000,45
Visit,v11,SE18 7BZ,20140610T100000,20140610T110000,60
Visit,v12,SE22 8AD,20140610T110000,20140610T120000,30
Visit,v13,NW4 2JT,20140610T120000,20140610T130000,60
Visit,v14,E1 6NP,20140610T120000,20140610T130000,60
Visit,v15,SM5 4PB,20140610T090000,20140610T10000,60
Visit,v16,SE9 5QR,20140610T140000,20140610T150000,60
Visit,v17,SE15 2UJ,20140610T100000,20140610T110000,45
Visit,v18,CR4 3QX,20140610T150000,20140610T160000,15
Visit,v19,E18 2JF,20140610T090000,20140610T10000,30
Visit,v20,SE8 4HZ,20140610T160000,20140610T170000,45
Visit,v21,E6 6AQ,20140610T160000,20140610T170000,30
Visit,v22,E7 8DT,20140610T120000,20140610T130000,60
Visit,v23,SE16 7PF,20140610T160000,20140610T170000,60
Visit,v24,SE4 1YB,20140610T140000,20140610T150000,15
Visit,v25,EN2 0DY,20140610T140000,20140610T150000,45
Visit,v26,SE23 3NN,20140610T150000,20140610T160000,45
Visit,v27,SE6 1ES,20140610T120000,20140610T130000,45
Visit,v28,SE12 8PB,20140610T150000,20140610T160000,30
Visit,v29,SW2 1LR,20140610T120000,20140610T130000,30
Visit,v30,NW10 9UL,20140610T110000,20140610T120000,30
Visit,v31,SW1P 4BB,20140610T150000,20140610T160000,45
Visit,v32,SE26 6BP,20140610T100000,20140610T110000,45
Visit,v33,W1J 8PD,20140610T160000,20140610T170000,45
Visit,v34,SW2 2AD,20140610T090000,20140610T10000,45
Visit,v35,SW1V 1NP,20140610T100000,20140610T110000,45
Visit,v36,SE11 6PT,20140610T090000,20140610T10000,15
Visit,v37,SE12 9ET,20140610T150000,20140610T160000,15
Visit,v38,BR1 1BQ,20140610T160000,20140610T170000,30
Visit,v39,W1S 2HU,20140610T140000,20140610T150000,15
Visit,v40,IG5 0RW,20140610T150000,20140610T160000,60
Visit,v41,W5 5JY,20140610T110000,20140610T120000,45
Visit,v42,SW12 8LH,20140610T130000,20140610T140000,60
Visit,v43,W1J 5HQ,20140610T130000,20140610T140000,45
Visit,v44,SE12 9TZ,20140610T120000,20140610T130000,60
Visit,v45,SE13 6TZ,20140610T100000,20140610T110000,30
Visit,v46,W1U 4ED,20140610T090000,20140610T10000,45
Visit,v47,IG11 0RJ,20140610T120000,20140610T130000,30
Visit,v48,SE25 5PD,20140610T140000,20140610T150000,45
Visit,v49,SE19 3NF,20140610T100000,20140610T110000,60
Visit,v50,SE16 6AU,20140610T120000,20140610T130000,45
Visit,v51,SE12 9QB,20140610T130000,20140610T140000,15
Visit,v52,E3 5AA,20140610T110000,20140610T120000,45
Visit,v53,SE1 4QA,20140610T100000,20140610T110000,45
Visit,v54,W1H 7JB,20140610T160000,20140610T170000,30
Visit,v55,SE6 3TJ,20140610T090000,20140610T10000,30
