Visit,Sender,Receiver
v1,Auctioneer,Bidder-4
v2,Auctioneer,Bidder-3
v3,Auctioneer,Bidder-6
v4,Auctioneer,Bidder-5
v5,Auctioneer,Bidder-2
v6,Auctioneer,Bidder-1
v7,Auctioneer,Bidder-0
v8,Auctioneer,Bidder-5
v9,Auctioneer,Bidder-6
v10,Auctioneer,Bidder-2
v11,Auctioneer,Bidder-6
v12,Auctioneer,Bidder-6
v13,Auctioneer,Bidder-6
v14,Auctioneer,Bidder-3
v15,Auctioneer,Bidder-3
v16,Auctioneer,Bidder-1
v17,Auctioneer,Bidder-3
v18,Auctioneer,Bidder-5
v19,Auctioneer,Bidder-5
v20,Auctioneer,Bidder-2
v21,Auctioneer,Bidder-6
v22,Auctioneer,Bidder-6
v23,Auctioneer,Bidder-3
v24,Auctioneer,Bidder-6
v25,Auctioneer,Bidder-1
v26,Auctioneer,Bidder-6
v27,Auctioneer,Bidder-4
v28,Auctioneer,Bidder-6
v29,Auctioneer,Bidder-4
v30,Auctioneer,Bidder-4
v31,Auctioneer,Bidder-4
v32,Auctioneer,Bidder-4
v33,Auctioneer,Bidder-4
v34,Auctioneer,Bidder-4
v35,Auctioneer,Bidder-4
v36,Auctioneer,Bidder-4
v37,Auctioneer,Bidder-4
v38,Auctioneer,Bidder-4
v39,Auctioneer,Bidder-5
v40,Auctioneer,Bidder-5
v41,Auctioneer,Bidder-5
v42,Auctioneer,Bidder-5
v43,Auctioneer,Bidder-5
v44,Auctioneer,Bidder-5
v45,Auctioneer,Bidder-2
v46,Auctioneer,Bidder-2
v47,Auctioneer,Bidder-2
v48,Auctioneer,Bidder-6
v49,Auctioneer,Bidder-2
v50,Auctioneer,Bidder-3
v51,Auctioneer,Bidder-2
v52,Auctioneer,Bidder-2
v53,Auctioneer,Bidder-2
v54,Auctioneer,Bidder-2
v55,Auctioneer,Bidder-2
v56,Auctioneer,Bidder-2
v57,Auctioneer,Bidder-1
v58,Auctioneer,Bidder-1
v59,Auctioneer,Bidder-1
v60,Auctioneer,Bidder-1
v61,Auctioneer,Bidder-1
v62,Auctioneer,Bidder-1
v63,Auctioneer,Bidder-1
v64,Auctioneer,Bidder-1
