Visit,Sender,Receiver
v1,Auctioneer,Bidder1099
v2,Auctioneer,Bidder-4
v3,Auctioneer,Bidder-5
v4,Auctioneer,Bidder-9
v5,Auctioneer,Bidder-8
v6,Auctioneer,Bidder-7
v7,Auctioneer,Bidder-3
v8,Auctioneer,Bidder-6
v9,Auctioneer,Bidder-1
v10,Auctioneer,Bidder-2
v11,Auctioneer,Bidder1099
v12,Auctioneer,Bidder1099
v13,Auctioneer,Bidder1099
v14,Auctioneer,Bidder1099
v15,Auctioneer,Bidder1099
v16,Auctioneer,Bidder1099
v17,Auctioneer,Bidder1099
v18,Auctioneer,Bidder1099
v19,Auctioneer,Bidder1099
v20,Auctioneer,Bidder1099
v21,Auctioneer,Bidder-5
v22,Auctioneer,Bidder-3
v23,Auctioneer,Bidder-6
v24,Auctioneer,Bidder-5
v25,Auctioneer,Bidder-6
v26,Auctioneer,Bidder-5
v27,Auctioneer,Bidder-2
v28,Auctioneer,Bidder-4
v29,Auctioneer,Bidder-4
v30,Auctioneer,Bidder-7
v31,Auctioneer,Bidder-4
v32,Auctioneer,Bidder-2
v33,Auctioneer,Bidder-4
v34,Auctioneer,Bidder-3
v35,Auctioneer,Bidder-6
v36,Auctioneer,Bidder-7
v37,Auctioneer,Bidder-4
v38,Auctioneer,Bidder-4
v39,Auctioneer,Bidder-5
v40,Auctioneer,Bidder-5
v41,Auctioneer,Bidder-2
v42,Auctioneer,Bidder-4
v43,Auctioneer,Bidder-5
v44,Auctioneer,Bidder-7
v45,Auctioneer,Bidder-1
v46,Auctioneer,Bidder-1
v47,Auctioneer,Bidder-1
v48,Auctioneer,Bidder-4
v49,Auctioneer,Bidder-2
v50,Auctioneer,Bidder-2
v51,Auctioneer,Bidder-3
v52,Auctioneer,Bidder-5
v53,Auctioneer,Bidder-2
v54,Auctioneer,Bidder-5
v55,Auctioneer,Bidder-2
v56,Auctioneer,Bidder-2
v57,Auctioneer,Bidder-2
v58,Auctioneer,Bidder-2
v59,Auctioneer,Bidder-2
v60,Auctioneer,Bidder-9
v61,Auctioneer,Bidder-9
v62,Auctioneer,Bidder-2
v63,Auctioneer,Bidder-9
v64,Auctioneer,Bidder-9
v65,Auctioneer,Bidder-1
v66,Auctioneer,Bidder-1
v67,Auctioneer,Bidder-1
v68,Auctioneer,Bidder-1
v69,Auctioneer,Bidder-9
v70,Auctioneer,Bidder-1
v71,Auctioneer,Bidder-6
v72,Auctioneer,Bidder-9
v73,Auctioneer,Bidder-6
v74,Auctioneer,Bidder-9
v75,Auctioneer,Bidder-6
v76,Auctioneer,Bidder-6
v77,Auctioneer,Bidder-5
v78,Auctioneer,Bidder-6
v79,Auctioneer,Bidder-6
v80,Auctioneer,Bidder-6
v81,Auctioneer,Bidder-6
v82,Auctioneer,Bidder-1
v83,Auctioneer,Bidder-1
v84,Auctioneer,Bidder-9
v85,Auctioneer,Bidder-9
v86,Auctioneer,Bidder-9
v87,Auctioneer,Bidder-4
v88,Auctioneer,Bidder-4
v89,Auctioneer,Bidder-2
v90,Auctioneer,Bidder-6
v91,Auctioneer,Bidder-3
v92,Auctioneer,Bidder-3
v93,Auctioneer,Bidder-3
v94,Auctioneer,Bidder-3
v95,Auctioneer,Bidder-3
v96,Auctioneer,Bidder-3
v97,Auctioneer,Bidder-3
v98,Auctioneer,Bidder-1
v99,Auctioneer,Bidder-3
v100,Auctioneer,Bidder-7
v101,Auctioneer,Bidder-7
v102,Auctioneer,Bidder-7
v103,Auctioneer,Bidder-7
v104,Auctioneer,Bidder-3
v105,Auctioneer,Bidder-5
v106,Auctioneer,Bidder-7
v107,Auctioneer,Bidder-1
v108,Auctioneer,Bidder-5
v109,Auctioneer,Bidder-8
v110,Auctioneer,Bidder-7
