Depot Name,Location,x,y,commenceTime
DEPOT,SE13 7TW,51.465336,-0.021253,20140610T090000


Visit Name,Location,x,y,windowStart,windowEnd,visitLength,Transport Mode
v20,SE26 6HP,51.426178,-0.061956,20140610T090000,20140610T170000,30.0,Car
v21,SE26 6BP,51.424959,-0.064942,20140610T090000,20140610T170000,30.0,Car
v3,SE20 8LB,51.411851,-0.059126,20140610T090000,20140610T170000,30.0,Car
Route Name,Route0
Time,133.38793955199998
Emissions,10.076983058
Distance,17.138236123
Cost,40.17380575463333

Visit Name,Location,x,y,windowStart,windowEnd,visitLength,Transport Mode
v51,E6 9ST,51.532761,0.055219,20140610T090000,20140610T170000,30.0,Car
v41,IG11 0RD,51.529397,0.108902,20140610T090000,20140610T170000,30.0,Car
v42,IG11 0RJ,51.5312,0.120679,20140610T090000,20140610T170000,30.0,Car
v37,E6 6AQ,51.525592,0.063488,20140610T090000,20140610T170000,30.0,Car
v38,E6 9SN,51.532761,0.055219,20140610T090000,20140610T170000,30.0,Car
v40,E7 8DT,51.544112,0.034429,20140610T090000,20140610T170000,30.0,Car
v39,E7 0AF,51.55368,0.019868,20140610T090000,20140610T170000,30.0,Car
v44,NW4 2DH,51.586223,-0.221172,20140610T090000,20140610T170000,30.0,Car
v18,SE1 2SS,51.506106,-0.087199,20140610T090000,20140610T170000,30.0,Car
v4,SE1 1GE,51.503839,-0.092121,20140610T090000,20140610T170000,30.0,Car
v8,SE1 4QA,51.498117,-0.083716,20140610T090000,20140610T170000,30.0,Car
Route Name,Route1
Time,539.414460487
Emissions,54.751607957999994
Distance,82.718711896
Cost,199.927374941

Visit Name,Location,x,y,windowStart,windowEnd,visitLength,Transport Mode
v58,NW4 3DE,51.581401,-0.228173,20140610T090000,20140610T170000,30.0,Car
v53,E6 9SP,51.532761,0.055219,20140610T090000,20140610T170000,30.0,Car
v54,E6 2PX,51.531854,0.064319,20140610T090000,20140610T170000,30.0,Car
v52,E6 2NS,51.535175,0.062667,20140610T090000,20140610T170000,30.0,Car
v56,E6 2NF,51.536121,0.060503,20140610T090000,20140610T170000,30.0,Car
v55,E7 8EA,51.546847,0.036411,20140610T090000,20140610T170000,30.0,Car
v49,W1S 2HU,51.512255,-0.141361,20140610T090000,20140610T170000,30.0,Car
v57,NW4 2DT,51.586693,-0.220157,20140610T090000,20140610T170000,30.0,Car
v47,SW1V 1NP,51.492683,-0.144462,20140610T090000,20140610T170000,30.0,Car
v46,SW1P 4PX,51.489465,-0.130389,20140610T090000,20140610T170000,30.0,Car
v5,SE19 3NF,51.422435,-0.105294,20140610T090000,20140610T170000,30.0,Car
v25,SE21 8BX,51.431052,-0.089875,20140610T090000,20140610T170000,30.0,Car
Route Name,Route2
Time,659.0676628980001
Emissions,70.87478084600001
Distance,118.13172684999999
