Visit,Sender,Receiver
v1,Auctioneer,Bidder-4
v2,Auctioneer,Bidder-2
v3,Auctioneer,Bidder-3
v4,Auctioneer,Bidder-1
v5,Auctioneer,Bidder-0
v6,Auctioneer,Bidder-0
v7,Auctioneer,Bidder-2
v8,Auctioneer,Bidder-1
v9,Auctioneer,Bidder-3
v10,Auctioneer,Bidder-0
v11,Auctioneer,Bidder-3
v12,Auctioneer,Bidder-3
v13,Auctioneer,Bidder-3
v14,Auctioneer,Bidder-2
v15,Auctioneer,Bidder-2
v16,Auctioneer,Bidder-0
v17,Auctioneer,Bidder-2
v18,Auctioneer,Bidder-1
v19,Auctioneer,Bidder-0
v20,Auctioneer,Bidder-3
v21,Auctioneer,Bidder-3
v22,Auctioneer,Bidder-3
v23,Auctioneer,Bidder-2
v24,Auctioneer,Bidder-3
v25,Auctioneer,Bidder-0
v26,Auctioneer,Bidder-3
v27,Auctioneer,Bidder-4
v28,Auctioneer,Bidder-3
v29,Auctioneer,Bidder-4
v30,Auctioneer,Bidder-4
v31,Auctioneer,Bidder-4
v32,Auctioneer,Bidder-4
v33,Auctioneer,Bidder-4
v34,Auctioneer,Bidder-4
v35,Auctioneer,Bidder-4
v36,Auctioneer,Bidder-4
v37,Auctioneer,Bidder-4
v38,Auctioneer,Bidder-4
v39,Auctioneer,Bidder-1
v40,Auctioneer,Bidder-1
v41,Auctioneer,Bidder-1
v42,Auctioneer,Bidder-1
v43,Auctioneer,Bidder-1
v44,Auctioneer,Bidder-1
v45,Auctioneer,Bidder-1
v46,Auctioneer,Bidder-0
v47,Auctioneer,Bidder-0
v48,Auctioneer,Bidder-3
v49,Auctioneer,Bidder-0
v50,Auctioneer,Bidder-2
v51,Auctioneer,Bidder-0
v52,Auctioneer,Bidder-0
v53,Auctioneer,Bidder-0
v54,Auctioneer,Bidder-4
v55,Auctioneer,Bidder-1
v56,Auctioneer,Bidder-2
v57,Auctioneer,Bidder-2
v58,Auctioneer,Bidder-0
v59,Auctioneer,Bidder-3
v60,Auctioneer,Bidder-2
v61,Auctioneer,NO_RECEIVER
v62,Auctioneer,NO_RECEIVER
v63,Auctioneer,NO_RECEIVER
v64,Auctioneer,NO_RECEIVER
v61,Auctioneer,NO_RECEIVER
v62,Auctioneer,NO_RECEIVER
v63,Auctioneer,NO_RECEIVER
v64,Auctioneer,NO_RECEIVER
v61,Auctioneer,NO_RECEIVER
v62,Auctioneer,NO_RECEIVER
v63,Auctioneer,NO_RECEIVER
v64,Auctioneer,NO_RECEIVER
v61,Auctioneer,NO_RECEIVER
v62,Auctioneer,NO_RECEIVER
v63,Auctioneer,NO_RECEIVER
v64,Auctioneer,NO_RECEIVER
v61,Auctioneer,NO_RECEIVER
v62,Auctioneer,NO_RECEIVER
v63,Auctioneer,NO_RECEIVER
v64,Auctioneer,NO_RECEIVER
v61,Auctioneer,NO_RECEIVER
v62,Auctioneer,NO_RECEIVER
v63,Auctioneer,NO_RECEIVER
v64,Auctioneer,NO_RECEIVER
v61,Auctioneer,NO_RECEIVER
v62,Auctioneer,NO_RECEIVER
v63,Auctioneer,NO_RECEIVER
v64,Auctioneer,NO_RECEIVER
v61,Auctioneer,NO_RECEIVER
v62,Auctioneer,NO_RECEIVER
v63,Auctioneer,NO_RECEIVER
v64,Auctioneer,NO_RECEIVER
v61,Auctioneer,NO_RECEIVER
v62,Auctioneer,NO_RECEIVER
v63,Auctioneer,NO_RECEIVER
v64,Auctioneer,NO_RECEIVER
v61,Auctioneer,NO_RECEIVER
v62,Auctioneer,NO_RECEIVER
v63,Auctioneer,NO_RECEIVER
v64,Auctioneer,NO_RECEIVER
v61,Auctioneer,NO_RECEIVER
v62,Auctioneer,NO_RECEIVER
v63,Auctioneer,NO_RECEIVER
v64,Auctioneer,NO_RECEIVER
v61,Auctioneer,NO_RECEIVER
v62,Auctioneer,NO_RECEIVER
v63,Auctioneer,NO_RECEIVER
v64,Auctioneer,NO_RECEIVER
v61,Auctioneer,NO_RECEIVER
v62,Auctioneer,NO_RECEIVER
v63,Auctioneer,NO_RECEIVER
v64,Auctioneer,NO_RECEIVER
v61,Auctioneer,NO_RECEIVER
v62,Auctioneer,NO_RECEIVER
v63,Auctioneer,NO_RECEIVER
v64,Auctioneer,NO_RECEIVER
v61,Auctioneer,NO_RECEIVER
v62,Auctioneer,NO_RECEIVER
v63,Auctioneer,NO_RECEIVER
v64,Auctioneer,NO_RECEIVER
v61,Auctioneer,NO_RECEIVER
v62,Auctioneer,NO_RECEIVER
v63,Auctioneer,NO_RECEIVER
v64,Auctioneer,NO_RECEIVER
v61,Auctioneer,NO_RECEIVER
v62,Auctioneer,NO_RECEIVER
v63,Auctioneer,NO_RECEIVER
v64,Auctioneer,NO_RECEIVER
v61,Auctioneer,NO_RECEIVER
