,Bidder,,,Bidder1099,,
bid, cost, maxbid,bid, cost, maxbid,
8.733385318,8.733385318,8.733385318,12.09237967,12.764178541,12.09237967,
6.717988705,6.717988705,9.405184188,0.0,10.412882494,10.74878193,
9.741083624,9.741083624,20.15396612,11.420580795,11.420580795,22.16936272,
8.397485882,8.397485882,12.09237967,7.0,3.023094918,8.733385318,
1.343597741,1.343597741,5.374390964,8.0,2.687195482,11.4205808,
9.069284752,9.069284752,19.482167246,3.3589943479999995,3.3589943479999995,4.702592094,
10.748781928,10.748781928,12.76417854,8.0,1.007698305,11.4205808,
6.717988705,6.717988705,9.405184188,4.0,2.351296047,6.046189836,
5.038491529,5.038491529,11.4205808,12.0,4.702592094,14.779575152,
7.725687011,7.725687011,10.076983058,11.0,1.679497177,12.09237967,
8.733385318,8.733385318,10.74878193,9.0,1.679497177,10.076983058,
12.764178541,12.764178541,21.49756386,7.0,3.694893788,8.733385318,
1.679497177,1.679497177,20.15396612,6.0,2.351296047,6.717988706,
2.000000165480742E-9,2.000000165480742E-9,7.389787576,8.0,2.351296047,8.061586446,
12.764178541000001,12.764178541000001,15.451374024,3.0,0.0,3.358994352,
6.717988706,7.053888141,6.717988706,,
