,Bidder1217(Route 6),,
bid, cost, maxbid,,
8.733385318,8.733385318,8.733385318,
6.046189835,6.046189835,9.405184188,
9.741083624,9.741083624,20.15396612,
1.343597741,1.343597741,5.374390964,
5.374390964,5.374390964,12.09237967,
10.748781929,10.748781929,12.76417854,
11.756480235,11.756480235,17.466770634,
12.092379670000001,12.092379670000001,15.451374024,
8.061586442,8.061586442,9.405184188,
4.366692663,4.366692663,11.4205808,
2.015396611,2.015396611,10.076983058,
6.717988706,6.717988706,10.74878193,
3.023094917,3.023094917,8.733385318,
5.374390965,5.374390965,11.4205808,
7.053888141999998,7.053888141999998,21.49756386,
7.389787576,7.389787576,11.4205808,
Strategy,
Aiming for best looping route.,
