Depot Name,Location,x,y,commenceTime
DEPOT,SE13 7TW,51.465336,-0.021253,20140610T090000


Visit Name,Location,x,y,windowStart,windowEnd,visitLength,Transport Mode
v5,SE8 4HZ,51.471391,-0.024115,20140610T090000,20140610T170000,30.0,Car
Route Name,Route0
Time,34.533781474
Emissions,2.687195482
Distance,1.790843682
Cost,11.060073671606666

Visit Name,Location,x,y,windowStart,windowEnd,visitLength,Transport Mode
v7,SE22 8RP,51.457684,-0.077003,20140610T090000,20140610T170000,30.0,Car
v51,SE4 1YB,51.465709,-0.026866,20140610T090000,20140610T170000,30.0,Car
Route Name,Route1
Time,88.66002833900001
Emissions,10.748781929
Distance,11.320711194000001
Cost,32.46894588860667

Visit Name,Location,x,y,windowStart,windowEnd,visitLength,Transport Mode
v30,SE19 2QJ,51.411828,-0.084536,20140610T090000,20140610T170000,30.0,Car
v9,SE19 3DX,51.414883,-0.094835,20140610T090000,20140610T170000,30.0,Car
Route Name,Route2
Time,109.02173187700001
Emissions,9.069284753
Distance,19.363584091
Cost,31.76889618763333

Visit Name,Location,x,y,windowStart,windowEnd,visitLength,Transport Mode
v14,SE1 4QA,51.498117,-0.083716,20140610T090000,20140610T170000,30.0,Car
v32,SE1 2SS,51.506106,-0.087199,20140610T090000,20140610T170000,30.0,Car
v8,SE16 5QU,51.504227,-0.048517,20140610T090000,20140610T170000,30.0,Car
v11,SE16 6AU,51.500401,-0.043407,20140610T090000,20140610T170000,30.0,Car
Route Name,Route3
Time,167.881126531
Emissions,12.09237967
Distance,18.913044978000002
Cost,55.77838740998

Visit Name,Location,x,y,windowStart,windowEnd,visitLength,Transport Mode
v35,SE17 1TS,51.490383,-0.084199,20140610T090000,20140610T170000,30.0,Car
v60,W2 1EB,51.566901,-0.209532,20140610T090000,20140610T170000,30.0,Car
v4,SE1 1GE,51.503839,-0.092121,20140610T090000,20140610T170000,30.0,Car
Route Name,Route4
Time,195.29076580999998
Emissions,28.551452009000002
Distance,41.589852498999996
Cost,70.39754976815334

Visit Name,Location,x,y,windowStart,windowEnd,visitLength,Transport Mode
v43,SE12 8SS,51.455336,0.012558,20140610T090000,20140610T170000,30.0,Car
v29,SE9 2LL,51.446535,0.08289,20140610T090000,20140610T170000,30.0,Car
v12,SE9 5DL,51.450285,0.055917,20140610T090000,20140610T170000,30.0,Car
v2,SE9 5TG,51.44948,0.050483,20140610T090000,20140610T170000,30.0,Car
v38,SE28 8LW,51.508975,0.117888,20140610T090000,20140610T170000,30.0,Car
v33,SE2 0EF,51.498497,0.10445,20140610T090000,20140610T170000,30.0,Car
v37,SE18 7BZ,51.490921,0.071372,20140610T090000,20140610T170000,30.0,Car
v42,SE7 8NE,51.491891,0.035502,20140610T090000,20140610T170000,30.0,Car
v48,SE3 7DF,51.475516,0.022994,20140610T090000,20140610T170000,30.0,Car
v28,SE9 5QR,51.44146,0.050412,20140610T090000,20140610T170000,30.0,Car
v31,SE12 8BP,51.451997,0.026286,20140610T090000,20140610T170000,30.0,Car
Route Name,Route5
Time,456.68946966699997
Emissions,39.972032797999994
Distance,50.042340525
Cost,164.34915086337332

Visit Name,Location,x,y,windowStart,windowEnd,visitLength,Transport Mode
v15,SE15 5SZ,51.475094,-0.066594,20140610T090000,20140610T170000,30.0,Car
v49,SE1 6TJ,51.494747,-0.098768,20140610T090000,20140610T170000,30.0,Car
v53,SE11 6PT,51.492973,-0.115869,20140610T090000,20140610T170000,30.0,Car
v55,W1H 7JB,51.514839,-0.158666,20140610T090000,20140610T170000,30.0,Car
v56,W3 7TB,51.558951,-0.19246,20140610T090000,20140610T170000,30.0,Car
v58,W1T 3QG,51.51701,-0.137794,20140610T090000,20140610T170000,30.0,Car
v59,W1J 8PD,51.507805,-0.144827,20140610T090000,20140610T170000,30.0,Car
v57,W1J 5HQ,51.507122,-0.146599,20140610T090000,20140610T170000,30.0,Car
v10,SE24 0EF,51.454033,-0.104576,20140610T090000,20140610T170000,30.0,Car
v46,SE21 8BX,51.431052,-0.089875,20140610T090000,20140610T170000,30.0,Car
v6,SE19 3NF,51.422435,-0.105294,20140610T090000,20140610T170000,30.0,Car
v36,SE26 6HP,51.426178,-0.061956,20140610T090000,20140610T170000,30.0,Car
Route Name,Route6
Time,496.58306213699996
Emissions,49.041317551000006
Distance,53.950309540000006
Cost,176.57415549712667

Visit Name,Location,x,y,windowStart,windowEnd,visitLength,Transport Mode
v21,SE4 1QR,51.463509,-0.035628,20140610T090000,20140610T170000,30.0,Car
v41,SE14 5TJ,51.469307,-0.046235,20140610T090000,20140610T170000,30.0,Car
v23,SE14 6EB,51.481142,-0.035014,20140610T090000,20140610T170000,30.0,Car
v25,SE16 7PF,51.496001,-0.039446,20140610T090000,20140610T170000,30.0,Car
v17,SE15 6TE,51.480644,-0.067814,20140610T090000,20140610T170000,30.0,Car
v34,SE5 8PF,51.471194,-0.084326,20140610T090000,20140610T170000,30.0,Car
v19,SE17 3RD,51.487667,-0.104147,20140610T090000,20140610T170000,30.0,Car
v16,SE22 8AD,51.464181,-0.082748,20140610T090000,20140610T170000,30.0,Car
