Visit,Sender,Receiver
v1,Auctioneer,Bidder1217
v2,Auctioneer,Bidder-4
v3,Auctioneer,Bidder-8
v4,Auctioneer,Bidder-6
v5,Auctioneer,Bidder-5
v6,Auctioneer,Bidder-2
v7,Auctioneer,Bidder-1
v8,Auctioneer,Bidder-3
v9,Auctioneer,Bidder-7
v10,Auctioneer,Bidder1217
v11,Auctioneer,Bidder1217
v12,Auctioneer,Bidder1217
v13,Auctioneer,Bidder1217
v14,Auctioneer,Bidder1217
v15,Auctioneer,Bidder1217
v16,Auctioneer,Bidder-1
v17,Auctioneer,Bidder1217
v18,Auctioneer,Bidder-8
v19,Auctioneer,Bidder1217
v20,Auctioneer,Bidder1217
v21,Auctioneer,Bidder-8
v22,Auctioneer,Bidder1217
v23,Auctioneer,Bidder-3
v24,Auctioneer,Bidder-8
v25,Auctioneer,Bidder-3
v26,Auctioneer,Bidder-8
v27,Auctioneer,Bidder-1
v28,Auctioneer,Bidder-4
v29,Auctioneer,Bidder-4
v30,Auctioneer,Bidder-2
v31,Auctioneer,Bidder-4
v32,Auctioneer,Bidder-3
v33,Auctioneer,Bidder-4
v34,Auctioneer,Bidder-1
v35,Auctioneer,Bidder-3
v36,Auctioneer,Bidder-2
v37,Auctioneer,Bidder-4
v38,Auctioneer,Bidder-4
v39,Auctioneer,Bidder-8
v40,Auctioneer,Bidder-8
v41,Auctioneer,Bidder-1
v42,Auctioneer,Bidder-4
v43,Auctioneer,Bidder-4
v44,Auctioneer,Bidder-8
v45,Auctioneer,Bidder-7
v46,Auctioneer,Bidder-7
v47,Auctioneer,Bidder-7
v48,Auctioneer,Bidder-4
v49,Auctioneer,Bidder-3
v50,Auctioneer,Bidder-1
v51,Auctioneer,Bidder-8
v52,Auctioneer,Bidder-8
v53,Auctioneer,Bidder-3
v54,Auctioneer,Bidder-8
v55,Auctioneer,Bidder-3
v56,Auctioneer,Bidder-3
v57,Auctioneer,Bidder-3
v58,Auctioneer,Bidder-3
v59,Auctioneer,Bidder-3
v60,Auctioneer,Bidder-3
