Visit,Sender,Receiver
v1,Auctioneer,Bidder-11
v2,Auctioneer,Bidder-10
v3,Auctioneer,Bidder-6
v4,Auctioneer,Bidder-8
v5,Auctioneer,Bidder-9
v6,Auctioneer,Bidder-7
v7,Auctioneer,Bidder-5
v8,Auctioneer,Bidder-2
v9,Auctioneer,Bidder-3
v10,Auctioneer,Bidder-4
v11,Auctioneer,Bidder-1
v12,Auctioneer,Bidder-0
v13,Auctioneer,Bidder-10
v14,Auctioneer,Bidder-1
v15,Auctioneer,Bidder-9
v16,Auctioneer,Bidder-5
v17,Auctioneer,Bidder-0
v18,Auctioneer,Bidder-10
v19,Auctioneer,Bidder-4
v20,Auctioneer,Bidder-6
v21,Auctioneer,Bidder-9
v22,Auctioneer,Bidder-5
v23,Auctioneer,Bidder-0
v24,Auctioneer,Bidder-6
v25,Auctioneer,Bidder-1
v26,Auctioneer,Bidder-10
v27,Auctioneer,Bidder-5
v28,Auctioneer,Bidder-10
v29,Auctioneer,Bidder-0
v30,Auctioneer,Bidder-6
v31,Auctioneer,Bidder-0
v32,Auctioneer,Bidder-2
v33,Auctioneer,Bidder-0
v34,Auctioneer,Bidder-9
v35,Auctioneer,Bidder-0
v36,Auctioneer,Bidder-6
v37,Auctioneer,Bidder-0
v38,Auctioneer,Bidder-0
v39,Auctioneer,Bidder-6
v40,Auctioneer,Bidder-10
v41,Auctioneer,Bidder-9
v42,Auctioneer,Bidder-10
v43,Auctioneer,Bidder-0
v44,Auctioneer,Bidder-9
v45,Auctioneer,Bidder-6
v46,Auctioneer,Bidder-6
v47,Auctioneer,Bidder-6
v48,Auctioneer,Bidder-10
v49,Auctioneer,Bidder-2
v50,Auctioneer,Bidder-5
v51,Auctioneer,Bidder-9
v52,Auctioneer,Bidder-10
v53,Auctioneer,Bidder-8
v54,Auctioneer,Bidder-10
v55,Auctioneer,Bidder-2
v56,Auctioneer,Bidder-2
v57,Auctioneer,Bidder-2
v58,Auctioneer,Bidder-8
v59,Auctioneer,Bidder-2
v60,Auctioneer,Bidder-4
v61,Auctioneer,Bidder-3
v62,Auctioneer,Bidder-8
v63,Auctioneer,Bidder-1
v64,Auctioneer,Bidder-8
v65,Auctioneer,Bidder-7
v66,Auctioneer,Bidder-7
v67,Auctioneer,Bidder-4
v68,Auctioneer,Bidder-7
v69,Auctioneer,Bidder-1
v70,Auctioneer,Bidder-7
v71,Auctioneer,Bidder-11
v72,Auctioneer,Bidder-9
v73,Auctioneer,Bidder-11
v74,Auctioneer,Bidder-1
v75,Auctioneer,Bidder-11
v76,Auctioneer,Bidder-11
v77,Auctioneer,Bidder-10
v78,Auctioneer,Bidder-5
v79,Auctioneer,Bidder-5
v80,Auctioneer,Bidder-1
v81,Auctioneer,Bidder-1
v82,Auctioneer,Bidder-9
v83,Auctioneer,Bidder-3
v84,Auctioneer,Bidder-2
v85,Auctioneer,Bidder-3
v86,Auctioneer,Bidder-1
v87,Auctioneer,Bidder-10
v88,Auctioneer,Bidder-0
v89,Auctioneer,Bidder-1
v90,Auctioneer,Bidder-5
v91,Auctioneer,Bidder-6
v92,Auctioneer,Bidder-5
v93,Auctioneer,Bidder-8
v94,Auctioneer,Bidder-8
v95,Auctioneer,Bidder-2
v96,Auctioneer,Bidder-9
v97,Auctioneer,Bidder-2
v98,Auctioneer,Bidder-4
v99,Auctioneer,Bidder-5
v100,Auctioneer,Bidder-6
v101,Auctioneer,Bidder-1
v102,Auctioneer,Bidder-7
v103,Auctioneer,Bidder-7
v104,Auctioneer,Bidder-11
v105,Auctioneer,Bidder-7
v106,Auctioneer,Bidder-8
v107,Auctioneer,Bidder-11
v108,Auctioneer,Bidder-11
v109,Auctioneer,Bidder-8
v110,Auctioneer,Bidder-11
