Depot Name,Location,x,y,commenceTime
DEPOT,SE13 7TW,51.465336,-0.021253,20140610T090000


Visit Name,Location,x,y,windowStart,windowEnd,visitLength,Transport Mode
v109,W1S 2HU,51.512255,-0.141361,20140610T090000,20140610T170000,30.0,Car
v107,SW11 4LG,51.475275,-0.150842,20140610T090000,20140610T170000,30.0,Car
v108,SE13 6TZ,51.446221,-0.004004,20140610T090000,20140610T170000,30.0,Car
v110,SE12 8PB,51.454711,0.005953,20140610T090000,20140610T170000,30.0,Car
v5,SE8 4HZ,51.471391,-0.024115,20140610T090000,20140610T170000,30.0,Car
Route Name,Route0
Time,245.08390372
Emissions,36.948937877000006
Distance,37.55814197299999
Cost,93.40432917254668

Visit Name,Location,x,y,windowStart,windowEnd,visitLength,Transport Mode
v106,NW10 9UL,51.544184,-0.24567,20140610T090000,20140610T170000,30.0,Car
v100,SW2 1LR,51.45674,-0.113504,20140610T090000,20140610T170000,30.0,Car
v105,SM6 8SW,51.361415,-0.146037,20140610T090000,20140610T170000,30.0,Car
v102,CR4 3QX,51.407037,-0.178255,20140610T090000,20140610T170000,30.0,Car
v103,W3 7JU,51.508973,-0.250654,20140610T090000,20140610T170000,30.0,Car
v101,EN2 0DY,51.666493,-0.080465,20140610T090000,20140610T170000,30.0,Car
v104,IG5 0RW,51.596486,0.060159,20140610T090000,20140610T170000,30.0,Car
v1,SE23 3NN,51.44797,-0.049132,20140610T090000,20140610T170000,30.0,Car
Route Name,Route1
Time,610.1041588119999
Emissions,95.05954018599999
Distance,146.19114274100002
Cost,249.01494159088668

Visit Name,Location,x,y,windowStart,windowEnd,visitLength,Transport Mode
v20,SE25 5PD,51.38934,-0.090176,20140610T090000,20140610T170000,30.0,Car
v19,SE17 3RD,51.487667,-0.104147,20140610T090000,20140610T170000,30.0,Car
v18,SE12 9TZ,51.432583,0.027743,20140610T090000,20140610T170000,30.0,Car
v17,SE15 6TE,51.480644,-0.067814,20140610T090000,20140610T170000,30.0,Car
v16,SE22 8AD,51.464181,-0.082748,20140610T090000,20140610T170000,30.0,Car
v15,SE15 5SZ,51.475094,-0.066594,20140610T090000,20140610T170000,30.0,Car
v14,SE1 4QA,51.498117,-0.083716,20140610T090000,20140610T170000,30.0,Car
v13,SE6 1ES,51.439774,-0.0104,20140610T090000,20140610T170000,30.0,Car
v12,SE9 5DL,51.450285,0.055917,20140610T090000,20140610T170000,30.0,Car
v11,SE16 6AU,51.500401,-0.043407,20140610T090000,20140610T170000,30.0,Car
v2,SE9 5TG,51.44948,0.050483,20140610T090000,20140610T170000,30.0,Car
Route Name,Route2
Time,595.6701042109999
Emissions,82.295361637
Distance,104.93969115600001
Cost,227.27152919647335

Visit Name,Location,x,y,windowStart,windowEnd,visitLength,Transport Mode
v91,NW4 2DH,51.586223,-0.221172,20140610T090000,20140610T170000,30.0,Car
v34,SE5 8PF,51.471194,-0.084326,20140610T090000,20140610T170000,30.0,Car
v7,SE22 8RP,51.457684,-0.077003,20140610T090000,20140610T170000,30.0,Car
v22,SE22 8HA,51.454919,-0.076731,20140610T090000,20140610T170000,30.0,Car
v54,SE6 3TJ,51.434954,-0.023113,20140610T090000,20140610T170000,30.0,Car
v77,BR1 1BQ,51.408139,0.015834,20140610T090000,20140610T170000,30.0,Car
v52,SE12 0JQ,51.441768,0.01871,20140610T090000,20140610T170000,30.0,Car
v43,SE12 8SS,51.455336,0.012558,20140610T090000,20140610T170000,30.0,Car
v90,E1 6NP,51.521656,-0.075247,20140610T090000,20140610T170000,30.0,Car
v88,E18 2JF,51.593824,0.01827,20140610T090000,20140610T170000,30.0,Car
v89,E11 1DZ,51.569612,-0.003582,20140610T090000,20140610T170000,30.0,Car
Route Name,Route3
Time,603.484154577
Emissions,62.813194400000015
