Depot Name,Location,x,y,commenceTime
DEPOT,SE13 7TW,51.465336,-0.021253,20140610T090000


Visit Name,Location,x,y,windowStart,windowEnd,visitLength,Transport Mode
v7,SE9 5DL,51.450285,0.055917,20140610T090000,20140610T170000,30.0,Public Transport
v15,SE9 2LL,51.446535,0.08289,20140610T090000,20140610T170000,30.0,Public Transport
v14,SE9 5QR,51.44146,0.050412,20140610T090000,20140610T170000,30.0,Public Transport
Route Name,Route0
Time,250.0
Emissions,3.8891021200000004
Distance,18.861163956
Cost,77.8

Visit Name,Location,x,y,windowStart,windowEnd,visitLength,Transport Mode
v6,SE19 3DX,51.414883,-0.094835,20140610T090000,20140610T170000,30.0,Public Transport
v16,SE19 2QJ,51.411828,-0.084536,20140610T090000,20140610T170000,30.0,Public Transport
v25,SE21 8BX,51.431052,-0.089875,20140610T090000,20140610T170000,30.0,Public Transport
Route Name,Route1
Time,290.0
Emissions,4.8174977960000005
Distance,21.718681561
Cost,83.46666666666665

Visit Name,Location,x,y,windowStart,windowEnd,visitLength,Transport Mode
v28,SE12 0JQ,51.441768,0.01871,20140610T090000,20140610T170000,30.0,Public Transport
v9,SE12 9TZ,51.432583,0.027743,20140610T090000,20140610T170000,30.0,Public Transport
v22,SE12 9QB,51.435783,0.026763,20140610T090000,20140610T170000,30.0,Public Transport
v23,SE12 8SS,51.455336,0.012558,20140610T090000,20140610T170000,30.0,Public Transport
v50,SE12 8PB,51.454711,0.005953,20140610T090000,20140610T170000,30.0,Public Transport
Route Name,Route2
Time,308.0
Emissions,2.468847785
Distance,13.874665723
Cost,103.46666666666667

Visit Name,Location,x,y,windowStart,windowEnd,visitLength,Transport Mode
v13,SE12 9ET,51.44304,0.020551,20140610T090000,20140610T170000,30.0,Car
v3,SE20 8LB,51.411851,-0.059126,20140610T090000,20140610T170000,30.0,Public Transport
v20,SE26 6HP,51.426178,-0.061956,20140610T090000,20140610T170000,30.0,Public Transport
v48,SE13 6TZ,51.446221,-0.004004,20140610T090000,20140610T170000,30.0,Public Transport
Returning to Car,SE12 9ET,51.44304,0.020551,20140610T090000,20140610T090000,0.0,Public Transport
Route Name,Route3
Time,374.97954147
Emissions,9.731444984
Distance,28.652504198000003
Cost,123.73536624321332

Visit Name,Location,x,y,windowStart,windowEnd,visitLength,Transport Mode
v4,SE1 1GE,51.503839,-0.092121,20140610T090000,20140610T170000,30.0,Public Transport
v49,W1S 2HU,51.512255,-0.141361,20140610T090000,20140610T170000,30.0,Public Transport
v63,W5 5RA,51.508035,-0.304973,20140610T090000,20140610T170000,30.0,Public Transport
v64,W5 5SA,51.51217,-0.309259,20140610T090000,20140610T170000,30.0,Public Transport
v10,SE17 3RD,51.487667,-0.104147,20140610T090000,20140610T170000,30.0,Public Transport
Route Name,Route4
Time,415.0
Emissions,16.940560426
Distance,52.322615866
Cost,131.8

Visit Name,Location,x,y,windowStart,windowEnd,visitLength,Transport Mode
v2,SE9 5TG,51.44948,0.050483,20140610T090000,20140610T170000,30.0,Public Transport
v37,E6 6AQ,51.525592,0.063488,20140610T090000,20140610T170000,30.0,Public Transport
v40,E7 8DT,51.544112,0.034429,20140610T090000,20140610T170000,30.0,Public Transport
v55,E7 8EA,51.546847,0.036411,20140610T090000,20140610T170000,30.0,Public Transport
v39,E7 0AF,51.55368,0.019868,20140610T090000,20140610T170000,30.0,Public Transport
v17,SE12 8BP,51.451997,0.026286,20140610T090000,20140610T170000,30.0,Public Transport
Route Name,Route5
Time,548.0
Emissions,17.396729466000004
Distance,46.117949277
Cost,181.46666666666667

Visit Name,Location,x,y,windowStart,windowEnd,visitLength,Transport Mode
v27,SE1 6TJ,51.494747,-0.098768,20140610T090000,20140610T170000,30.0,Car
v45,SW1P 4BB,51.492146,-0.131072,20140610T090000,20140610T170000,30.0,Public Transport
v46,SW1P 4PX,51.489465,-0.130389,20140610T090000,20140610T170000,30.0,Public Transport
v5,SE19 3NF,51.422435,-0.105294,20140610T090000,20140610T170000,30.0,Public Transport
v26,SE25 4XL,51.399524,-0.07999,20140610T090000,20140610T170000,30.0,Public Transport
v11,SE25 5PD,51.38934,-0.090176,20140610T090000,20140610T170000,30.0,Public Transport
v24,SE25 4DQ,51.403127,-0.072679,20140610T090000,20140610T170000,30.0,Public Transport
v12,SE25 4TY,51.401113,-0.067804,20140610T090000,20140610T170000,30.0,Public Transport
v21,SE26 6BP,51.424959,-0.064942,20140610T090000,20140610T170000,30.0,Public Transport
Returning to Car,SE1 6TJ,51.494747,-0.098768,20140610T090000,20140610T090000,0.0,Public Transport
Route Name,Route6
Time,628.15140509
Emissions,16.239158822
Distance,49.95318940799999
Cost,205.15390206741333

Visit Name,Location,x,y,windowStart,windowEnd,visitLength,Transport Mode
v38,E6 9SN,51.532761,0.055219,20140610T090000,20140610T170000,30.0,Car
v51,E6 9ST,51.532761,0.055219,20140610T090000,20140610T170000,30.0,Car
v41,IG11 0RD,51.529397,0.108902,20140610T090000,20140610T170000,30.0,Car
v42,IG11 0RJ,51.5312,0.120679,20140610T090000,20140610T170000,30.0,Public Transport
v52,E6 2NS,51.535175,0.062667,20140610T090000,20140610T170000,30.0,Public Transport
v53,E6 9SP,51.532761,0.055219,20140610T090000,20140610T170000,30.0,Public Transport
v56,E6 2NF,51.536121,0.060503,20140610T090000,20140610T170000,30.0,Public Transport
v47,SW1V 1NP,51.492683,-0.144462,20140610T090000,20140610T170000,30.0,Public Transport
v8,SE1 4QA,51.498117,-0.083716,20140610T090000,20140610T170000,30.0,Public Transport
Returning to Car,IG11 0RD,51.529397,0.108902,20140610T090000,20140610T090000,0.0,Public Transport
Route Name,Route7
Time,783.8710915300001
Emissions,37.597406539000005
Distance,81.94036943500001
Cost,231.38515143705337

Visit Name,Location,x,y,windowStart,windowEnd,visitLength,Transport Mode
v43,W1U 4ED,51.518776,-0.153376,20140610T090000,20140610T170000,30.0,Car
v30,W1H 7JB,51.514839,-0.158666,20140610T090000,20140610T170000,30.0,Car
v1,W5 5TL,51.511651,-0.312549,20140610T090000,20140610T170000,30.0,Public Transport
v34,W5 5RN,51.50431,-0.304247,20140610T090000,20140610T170000,30.0,Public Transport
v32,W1T 3QG,51.51701,-0.137794,20140610T090000,20140610T170000,30.0,Public Transport
v33,W1J 8PD,51.507805,-0.144827,20140610T090000,20140610T170000,30.0,Public Transport
v31,W1J 5HQ,51.507122,-0.146599,20140610T090000,20140610T170000,30.0,Public Transport
v36,SW1H 9HP,51.501001,-0.130911,20140610T090000,20140610T170000,30.0,Public Transport
v35,SW1H 9EU,51.499117,-0.136824,20140610T090000,20140610T170000,30.0,Public Transport
v18,SE1 2SS,51.506106,-0.087199,20140610T090000,20140610T170000,30.0,Public Transport
Returning to Car,W1H 7JB,51.514839,-0.158666,20140610T090000,20140610T090000,0.0,Public Transport
Route Name,Route8
Time,645.743839761
Emissions,32.584500084000005
Distance,72.12904745
Cost,214.71404426602004

Visit Name,Location,x,y,windowStart,windowEnd,visitLength,Transport Mode
v54,E6 2PX,51.531854,0.064319,20140610T090000,20140610T170000,30.0,Car
v62,NW4 3UA,51.575986,-0.233983,20140610T090000,20140610T170000,30.0,Car
v58,NW4 3DE,51.581401,-0.228173,20140610T090000,20140610T170000,30.0,Public Transport
v59,NW4 3DH,51.580454,-0.227401,20140610T090000,20140610T170000,30.0,Public Transport
v61,NW4 3SA,51.578178,-0.232051,20140610T090000,20140610T170000,30.0,Public Transport
v60,NW4 3RD,51.578629,-0.219693,20140610T090000,20140610T170000,30.0,Public Transport
v57,NW4 2DT,51.586693,-0.220157,20140610T090000,20140610T170000,30.0,Public Transport
v44,NW4 2DH,51.586223,-0.221172,20140610T090000,20140610T170000,30.0,Public Transport
v29,SE11 6PT,51.492973,-0.115869,20140610T090000,20140610T170000,30.0,Public Transport
v19,SE17 1TS,51.490383,-0.084199,20140610T090000,20140610T170000,30.0,Public Transport
Returning to Car,NW4 3UA,51.575986,-0.233983,20140610T090000,20140610T090000,0.0,Public Transport
Route Name,Route9
Time,662.42862741
Emissions,81.598664878
Distance,106.109011253
Cost,229.10677379546667

