Visit,Sender,Receiver
v0,Auctioneer,Bidder-6
v1,Auctioneer,Bidder-46
v2,Auctioneer,Bidder-52
v3,Auctioneer,Bidder-51
v4,Auctioneer,Bidder-48
v5,Auctioneer,Bidder-45
v6,Auctioneer,Bidder-49
v7,Auctioneer,Bidder-50
v8,Auctioneer,Bidder-52
v9,Auctioneer,Bidder-47
v10,Auctioneer,Bidder-44
v11,Auctioneer,Bidder-42
v12,Auctioneer,Bidder-43
v13,Auctioneer,Bidder-41
v14,Auctioneer,Bidder-34
v15,Auctioneer,Bidder-38
v16,Auctioneer,Bidder-40
v17,Auctioneer,Bidder-44
v18,Auctioneer,Bidder-39
v19,Auctioneer,Bidder-36
v20,Auctioneer,Bidder-43
v21,Auctioneer,Bidder-37
v22,Auctioneer,Bidder-35
v23,Auctioneer,Bidder-30
v24,Auctioneer,Bidder-45
v25,Auctioneer,Bidder-33
v26,Auctioneer,Bidder-32
v27,Auctioneer,Bidder-39
v28,Auctioneer,Bidder-35
v29,Auctioneer,Bidder-31
v30,Auctioneer,Bidder-29
v31,Auctioneer,Bidder-28
v32,Auctioneer,Bidder-27
v33,Auctioneer,Bidder-26
v34,Auctioneer,Bidder-25
v35,Auctioneer,Bidder-21
v36,Auctioneer,Bidder-24
v37,Auctioneer,Bidder-23
v38,Auctioneer,Bidder-22
v39,Auctioneer,Bidder-20
v40,Auctioneer,Bidder-19
v41,Auctioneer,Bidder-18
v42,Auctioneer,Bidder-15
v43,Auctioneer,Bidder-14
v44,Auctioneer,Bidder-16
v45,Auctioneer,Bidder-13
v46,Auctioneer,Bidder-17
v47,Auctioneer,Bidder-12
v48,Auctioneer,Bidder-8
v49,Auctioneer,Bidder-9
v50,Auctioneer,Bidder-19
v51,Auctioneer,Bidder-11
v52,Auctioneer,Bidder-10
v53,Auctioneer,Bidder-5
v54,Auctioneer,Bidder-4
v55,Auctioneer,Bidder-7
v56,Auctioneer,Bidder-3
v57,Auctioneer,Bidder-2
v58,Auctioneer,Bidder-0
v59,Auctioneer,Bidder-1
v60,Auctioneer,Bidder-2
v61,Auctioneer,Bidder-21
v62,Auctioneer,Bidder-21
v63,Auctioneer,Bidder-33
v64,Auctioneer,Bidder-20
v65,Auctioneer,Bidder-15
v66,Auctioneer,Bidder-29
v67,Auctioneer,Bidder-34
v68,Auctioneer,Bidder-28
v63,Bidder-33,Auctioneer
v69,Auctioneer,Bidder-33
v70,Auctioneer,Bidder-8
v71,Auctioneer,Bidder-20
v72,Auctioneer,Bidder-10
v73,Auctioneer,Bidder-18
v41,Bidder-18,Auctioneer
v74,Auctioneer,Bidder-18
v75,Auctioneer,Bidder-12
v40,Bidder-19,Auctioneer
v76,Auctioneer,Bidder-19
v77,Auctioneer,Bidder-41
v78,Auctioneer,Bidder-1
v79,Auctioneer,Bidder-9
v80,Auctioneer,Bidder-37
v81,Auctioneer,Bidder-19
v78,Bidder-1,Auctioneer
v82,Auctioneer,Bidder-1
v5,Bidder-45,Auctioneer
v83,Auctioneer,Bidder-45
v84,Auctioneer,Bidder-42
v85,Auctioneer,Bidder-10
v86,Auctioneer,Bidder-41
v87,Auctioneer,Bidder-47
v88,Auctioneer,Bidder-3
v89,Auctioneer,Bidder-1
v60,Bidder-2,Auctioneer
v90,Auctioneer,Bidder-2
v70,Bidder-8,Auctioneer
v91,Auctioneer,Bidder-8
v92,Auctioneer,Bidder-3
v4,Bidder-48,Auctioneer
v93,Auctioneer,Bidder-48
v94,Auctioneer,Bidder-50
v95,Auctioneer,Bidder-48
v94,Bidder-50,Auctioneer
v96,Auctioneer,Bidder-50
v97,Auctioneer,Bidder-34
v98,Auctioneer,Bidder-40
v19,Bidder-36,Auctioneer
v99,Auctioneer,Bidder-36
v22,Bidder-35,Auctioneer
v100,Auctioneer,Bidder-35
v101,Auctioneer,Bidder-24
v102,Auctioneer,Bidder-45
v103,Auctioneer,Bidder-51
v104,Auctioneer,Bidder-11
v98,Bidder-40,Auctioneer
v105,Auctioneer,Bidder-40
v103,Bidder-51,Auctioneer
v106,Auctioneer,Bidder-51
v107,Auctioneer,Bidder-4
v108,Auctioneer,Bidder-51
v109,Auctioneer,Bidder-14
v80,Bidder-37,Auctioneer
v63,Auctioneer,Bidder-37
v86,Bidder-41,Auctioneer
v41,Auctioneer,Bidder-41
v40,Auctioneer,Bidder-41
v78,Auctioneer,Bidder-27
v40,Bidder-41,Auctioneer
v5,Auctioneer,Bidder-41
v107,Bidder-4,Auctioneer
v60,Auctioneer,Bidder-4
v70,Auctioneer,Bidder-31
v4,Auctioneer,Bidder-31
v94,Auctioneer,Bidder-49
v19,Auctioneer,Bidder-26
v22,Auctioneer,Bidder-23
v98,Auctioneer,Bidder-40
v103,Auctioneer,Bidder-14
v80,Auctioneer,Bidder-14
v86,Auctioneer,Bidder-0
v40,Auctioneer,Bidder-18
v80,Bidder-14,Auctioneer
v107,Auctioneer,Bidder-14
v40,Bidder-18,Auctioneer
v80,Auctioneer,Bidder-18
v40,Auctioneer,Bidder-14
