Visit,Sender,Receiver
v1,Auctioneer,Bidder-10
v2,Auctioneer,Bidder-32
v3,Auctioneer,Bidder-31
v4,Auctioneer,Bidder-27
v5,Auctioneer,Bidder-31
v6,Auctioneer,Bidder-30
v7,Auctioneer,Bidder-29
v8,Auctioneer,Bidder-25
v9,Auctioneer,Bidder-28
v10,Auctioneer,Bidder-26
v11,Auctioneer,Bidder-23
v12,Auctioneer,Bidder-24
v13,Auctioneer,Bidder-22
v14,Auctioneer,Bidder-18
v15,Auctioneer,Bidder-19
v16,Auctioneer,Bidder-21
v17,Auctioneer,Bidder-20
v18,Auctioneer,Bidder-17
v19,Auctioneer,Bidder-16
v20,Auctioneer,Bidder-13
v21,Auctioneer,Bidder-21
v22,Auctioneer,Bidder-15
v23,Auctioneer,Bidder-11
v24,Auctioneer,Bidder-14
v25,Auctioneer,Bidder-9
v26,Auctioneer,Bidder-7
v27,Auctioneer,Bidder-12
v28,Auctioneer,Bidder-8
v29,Auctioneer,Bidder-6
v30,Auctioneer,Bidder-5
v31,Auctioneer,Bidder-3
v32,Auctioneer,Bidder-4
v33,Auctioneer,Bidder-2
v34,Auctioneer,Bidder-0
v35,Auctioneer,Bidder-1
v36,Auctioneer,Bidder-14
v37,Auctioneer,Bidder-2
v38,Auctioneer,Bidder-32
v39,Auctioneer,Bidder-28
v40,Auctioneer,Bidder-17
v41,Auctioneer,Bidder-0
v42,Auctioneer,Bidder-32
v43,Auctioneer,Bidder-6
v44,Auctioneer,Bidder-13
v45,Auctioneer,Bidder-5
v46,Auctioneer,Bidder-5
v9,Bidder-28,Auctioneer
v47,Auctioneer,Bidder-28
v48,Auctioneer,Bidder-32
v49,Auctioneer,Bidder-26
v50,Auctioneer,Bidder-29
v51,Auctioneer,Bidder-5
v6,Bidder-30,Auctioneer
v52,Auctioneer,Bidder-30
v53,Auctioneer,Bidder-16
v3,Bidder-31,Auctioneer
v54,Auctioneer,Bidder-31
v55,Auctioneer,Bidder-16
v56,Auctioneer,Bidder-1
v57,Auctioneer,Bidder-27
v58,Auctioneer,Bidder-1
v59,Auctioneer,Bidder-1
v60,Auctioneer,Bidder-1
v61,Auctioneer,Bidder-27
v62,Auctioneer,Bidder-27
v16,Bidder-21,Auctioneer
v63,Auctioneer,Bidder-21
v64,Auctioneer,Bidder-21
v65,Auctioneer,Bidder-15
v66,Auctioneer,Bidder-29
v67,Auctioneer,Bidder-21
v68,Auctioneer,Bidder-28
v69,Auctioneer,Bidder-20
v69,Bidder-20,Auctioneer
v70,Auctioneer,Bidder-20
v71,Auctioneer,Bidder-25
v72,Auctioneer,Bidder-21
v73,Auctioneer,Bidder-25
v70,Bidder-20,Auctioneer
v74,Auctioneer,Bidder-20
v75,Auctioneer,Bidder-18
v76,Auctioneer,Bidder-4
v75,Bidder-18,Auctioneer
v77,Auctioneer,Bidder-18
v78,Auctioneer,Bidder-4
v79,Auctioneer,Bidder-4
v80,Auctioneer,Bidder-23
v81,Auctioneer,Bidder-23
v82,Auctioneer,Bidder-28
v83,Auctioneer,Bidder-0
v74,Bidder-20,Auctioneer
v84,Auctioneer,Bidder-20
v85,Auctioneer,Bidder-0
v86,Auctioneer,Bidder-27
v87,Auctioneer,Bidder-23
v88,Auctioneer,Bidder-27
v89,Auctioneer,Bidder-30
v87,Bidder-23,Auctioneer
v90,Auctioneer,Bidder-23
v91,Auctioneer,Bidder-0
v92,Auctioneer,Bidder-27
v91,Bidder-0,Auctioneer
v93,Auctioneer,Bidder-0
v85,Bidder-0,Auctioneer
v94,Auctioneer,Bidder-0
v92,Bidder-27,Auctioneer
v95,Auctioneer,Bidder-27
v77,Bidder-18,Auctioneer
v96,Auctioneer,Bidder-18
v14,Bidder-18,Auctioneer
v97,Auctioneer,Bidder-18
v98,Auctioneer,Bidder-18
v66,Bidder-29,Auctioneer
v99,Auctioneer,Bidder-29
v95,Bidder-27,Auctioneer
v100,Auctioneer,Bidder-27
v101,Auctioneer,Bidder-0
v102,Auctioneer,Bidder-22
v101,Bidder-0,Auctioneer
v103,Auctioneer,Bidder-0
v104,Auctioneer,Bidder-23
v105,Auctioneer,Bidder-5
v106,Auctioneer,Bidder-8
v13,Bidder-22,Auctioneer
v107,Auctioneer,Bidder-22
v60,Bidder-1,Auctioneer
v108,Auctioneer,Bidder-1
v83,Bidder-0,Auctioneer
v109,Auctioneer,Bidder-0
v110,Auctioneer,Bidder-6
v9,Auctioneer,Bidder-22
v65,Bidder-15,Auctioneer
v6,Auctioneer,Bidder-15
v89,Bidder-30,Auctioneer
v3,Auctioneer,Bidder-30
v20,Bidder-13,Auctioneer
v16,Auctioneer,Bidder-13
v69,Auctioneer,Bidder-23
v28,Bidder-8,Auctioneer
v70,Auctioneer,Bidder-8
v75,Auctioneer,Bidder-8
v74,Auctioneer,Bidder-18
v87,Auctioneer,Bidder-23
v91,Auctioneer,Bidder-22
v91,Bidder-22,Auctioneer
v85,Auctioneer,Bidder-22
v92,Auctioneer,Bidder-18
v87,Bidder-23,Auctioneer
v77,Auctioneer,Bidder-23
v77,Bidder-23,Auctioneer
v14,Auctioneer,Bidder-23
v85,Bidder-22,Auctioneer
v66,Auctioneer,Bidder-22
v66,Bidder-22,Auctioneer
v95,Auctioneer,Bidder-22
v101,Auctioneer,Bidder-9
v35,Bidder-1,Auctioneer
v13,Auctioneer,Bidder-1
v60,Auctioneer,Bidder-1
v102,Bidder-22,Auctioneer
v83,Auctioneer,Bidder-22
v92,Bidder-18,Auctioneer
v65,Auctioneer,Bidder-18
v101,Bidder-9,Auctioneer
v89,Auctioneer,Bidder-9
v82,Bidder-28,Auctioneer
v20,Auctioneer,Bidder-28
v28,Auctioneer,Bidder-24
v91,Auctioneer,Bidder-18
v87,Auctioneer,Bidder-7
v91,Bidder-18,Auctioneer
v77,Auctioneer,Bidder-18
v85,Auctioneer,Bidder-12
v85,Bidder-12,Auctioneer
v66,Auctioneer,Bidder-12
v79,Bidder-4,Auctioneer
v35,Auctioneer,Bidder-4
v102,Auctioneer,Bidder-4
v92,Auctioneer,Bidder-19
v101,Auctioneer,Bidder-11
v82,Auctioneer,Bidder-13
v101,Bidder-11,Auctioneer
v91,Auctioneer,Bidder-11
v85,Auctioneer,Bidder-11
v102,Bidder-4,Auctioneer
v79,Auctioneer,Bidder-4
v101,Auctioneer,Bidder-6
v101,Bidder-6,Auctioneer
v102,Auctioneer,Bidder-6
v101,Auctioneer,Bidder-5
