Visit,Sender,Receiver
v1,Auctioneer,Bidder-0
v2,Auctioneer,Bidder-9
v3,Auctioneer,Bidder-8
v4,Auctioneer,Bidder-7
v5,Auctioneer,Bidder-5
v6,Auctioneer,Bidder-4
v7,Auctioneer,Bidder-3
v8,Auctioneer,Bidder-6
v9,Auctioneer,Bidder-1
v10,Auctioneer,Bidder-2
v11,Auctioneer,Bidder-5
v12,Auctioneer,Bidder-5
v13,Auctioneer,Bidder-8
v14,Auctioneer,Bidder-3
v15,Auctioneer,Bidder-3
v16,Auctioneer,Bidder-4
v17,Auctioneer,Bidder-9
v18,Auctioneer,Bidder-0
v19,Auctioneer,Bidder-2
v20,Auctioneer,Bidder-8
v21,Auctioneer,Bidder-5
v22,Auctioneer,Bidder-1
v23,Auctioneer,Bidder-1
v24,Auctioneer,Bidder-5
v25,Auctioneer,Bidder-4
v26,Auctioneer,Bidder-5
v27,Auctioneer,Bidder-5
v28,Auctioneer,Bidder-1
v29,Auctioneer,Bidder-2
v30,Auctioneer,Bidder-0
v31,Auctioneer,Bidder-0
v32,Auctioneer,Bidder-0
v33,Auctioneer,Bidder-0
v34,Auctioneer,Bidder-0
v35,Auctioneer,Bidder-0
v36,Auctioneer,Bidder-0
v37,Auctioneer,Bidder-0
v37,Bidder-0,Auctioneer
v38,Auctioneer,Bidder-0
v39,Auctioneer,Bidder-9
v40,Auctioneer,Bidder-9
v41,Auctioneer,Bidder-6
v42,Auctioneer,Bidder-6
v38,Bidder-0,Auctioneer
v43,Auctioneer,Bidder-0
v44,Auctioneer,Bidder-6
v45,Auctioneer,Bidder-5
v46,Auctioneer,Bidder-5
v47,Auctioneer,Bidder-6
v48,Auctioneer,Bidder-8
v49,Auctioneer,Bidder-6
v50,Auctioneer,Bidder-1
v51,Auctioneer,Bidder-6
v44,Bidder-6,Auctioneer
v52,Auctioneer,Bidder-6
v53,Auctioneer,Bidder-6
v54,Auctioneer,Bidder-6
v55,Auctioneer,Bidder-9
v54,Bidder-6,Auctioneer
v56,Auctioneer,Bidder-6
v57,Auctioneer,Bidder-2
v58,Auctioneer,Bidder-2
v59,Auctioneer,Bidder-2
v60,Auctioneer,Bidder-2
v61,Auctioneer,Bidder-2
v62,Auctioneer,Bidder-2
v63,Auctioneer,Bidder-7
v64,Auctioneer,Bidder-7
v37,Auctioneer,Bidder-9
v56,Bidder-6,Auctioneer
v38,Auctioneer,Bidder-6
v10,Bidder-2,Auctioneer
v44,Auctioneer,Bidder-2
v54,Auctioneer,Bidder-2
v49,Bidder-6,Auctioneer
v56,Auctioneer,Bidder-6
v10,Auctioneer,Bidder-7
v49,Auctioneer,Bidder-7
