Visit,Sender,Receiver
v1,Auctioneer,NO_RECEIVER
v2,Auctioneer,Bidder-27
v3,Auctioneer,Bidder-26
v4,Auctioneer,Bidder-19
v5,Auctioneer,Bidder-23
v6,Auctioneer,Bidder-21
v7,Auctioneer,Bidder-25
v8,Auctioneer,Bidder-22
v9,Auctioneer,Bidder-20
v10,Auctioneer,Bidder-24
v11,Auctioneer,Bidder-17
v12,Auctioneer,Bidder-16
v13,Auctioneer,Bidder-18
v14,Auctioneer,Bidder-15
v15,Auctioneer,Bidder-13
v16,Auctioneer,Bidder-14
v17,Auctioneer,Bidder-11
v18,Auctioneer,Bidder-12
v19,Auctioneer,Bidder-10
v20,Auctioneer,Bidder-9
v21,Auctioneer,Bidder-7
v22,Auctioneer,Bidder-3
v23,Auctioneer,Bidder-4
v24,Auctioneer,Bidder-8
v25,Auctioneer,Bidder-6
v26,Auctioneer,Bidder-5
v27,Auctioneer,Bidder-2
v28,Auctioneer,Bidder-1
v29,Auctioneer,Bidder-0
v30,Auctioneer,Bidder-0
v31,Auctioneer,Bidder-0
v32,Auctioneer,Bidder-0
v33,Auctioneer,Bidder-0
v34,Auctioneer,Bidder-17
v34,Bidder-17,Auctioneer
v35,Auctioneer,Bidder-17
v36,Auctioneer,Bidder-24
v37,Auctioneer,Bidder-22
v38,Auctioneer,Bidder-12
v39,Auctioneer,Bidder-2
v39,Bidder-2,Auctioneer
v40,Auctioneer,Bidder-2
v41,Auctioneer,Bidder-10
v42,Auctioneer,Bidder-10
v38,Bidder-12,Auctioneer
v43,Auctioneer,Bidder-12
v44,Auctioneer,Bidder-12
v37,Bidder-22,Auctioneer
v45,Auctioneer,Bidder-22
v40,Bidder-2,Auctioneer
v46,Auctioneer,Bidder-2
v27,Bidder-2,Auctioneer
v47,Auctioneer,Bidder-2
v48,Auctioneer,Bidder-16
v49,Auctioneer,Bidder-2
v50,Auctioneer,Bidder-13
v41,Bidder-10,Auctioneer
v51,Auctioneer,Bidder-10
v11,Bidder-17,Auctioneer
v52,Auctioneer,Bidder-17
v53,Auctioneer,Bidder-17
v54,Auctioneer,Bidder-17
v55,Auctioneer,Bidder-17
v56,Auctioneer,Bidder-17
v57,Auctioneer,Bidder-17
v58,Auctioneer,Bidder-12
v59,Auctioneer,Bidder-19
v60,Auctioneer,Bidder-19
v61,Auctioneer,Bidder-23
v62,Auctioneer,Bidder-5
v26,Bidder-5,Auctioneer
v63,Auctioneer,Bidder-5
v64,Auctioneer,Bidder-5
v1,Auctioneer,Bidder-5
v34,Auctioneer,Bidder-21
v39,Auctioneer,Bidder-1
v39,Bidder-1,Auctioneer
v38,Auctioneer,Bidder-1
v37,Auctioneer,Bidder-18
v40,Auctioneer,Bidder-27
v57,Bidder-17,Auctioneer
v27,Auctioneer,Bidder-17
v41,Auctioneer,Bidder-20
v41,Bidder-20,Auctioneer
v11,Auctioneer,Bidder-20
v58,Bidder-12,Auctioneer
v26,Auctioneer,Bidder-12
v28,Bidder-1,Auctioneer
v39,Auctioneer,Bidder-1
v57,Auctioneer,Bidder-1
v57,Bidder-1,Auctioneer
v41,Auctioneer,Bidder-1
v1,Bidder-5,Auctioneer
v58,Auctioneer,Bidder-5
v28,Auctioneer,Bidder-3
v57,Auctioneer,Bidder-14
v1,Auctioneer,Bidder-8
