Visit,Sender,Receiver
v1,Auctioneer,Bidder-19
v2,Auctioneer,Bidder-17
v3,Auctioneer,Bidder-18
v4,Auctioneer,Bidder-13
v5,Auctioneer,Bidder-15
v6,Auctioneer,Bidder-7
v7,Auctioneer,Bidder-16
v8,Auctioneer,Bidder-14
v9,Auctioneer,Bidder-12
v10,Auctioneer,Bidder-10
v11,Auctioneer,Bidder-6
v12,Auctioneer,Bidder-9
v13,Auctioneer,Bidder-11
v14,Auctioneer,Bidder-5
v15,Auctioneer,Bidder-8
v16,Auctioneer,Bidder-4
v17,Auctioneer,Bidder-3
v18,Auctioneer,Bidder-0
v19,Auctioneer,Bidder-2
v20,Auctioneer,Bidder-1
v21,Auctioneer,Bidder-4
v22,Auctioneer,Bidder-12
v23,Auctioneer,Bidder-8
v24,Auctioneer,Bidder-6
v25,Auctioneer,Bidder-7
v26,Auctioneer,Bidder-9
v27,Auctioneer,Bidder-19
v28,Auctioneer,Bidder-18
v29,Auctioneer,Bidder-19
v30,Auctioneer,Bidder-19
v31,Auctioneer,Bidder-19
v32,Auctioneer,Bidder-19
v33,Auctioneer,Bidder-10
v34,Auctioneer,Bidder-15
v35,Auctioneer,Bidder-14
v36,Auctioneer,Bidder-10
v37,Auctioneer,Bidder-0
v38,Auctioneer,Bidder-0
v39,Auctioneer,Bidder-0
v39,Bidder-0,Auctioneer
v40,Auctioneer,Bidder-0
v41,Auctioneer,Bidder-2
v41,Bidder-2,Auctioneer
v42,Auctioneer,Bidder-2
v29,Bidder-19,Auctioneer
v43,Auctioneer,Bidder-19
v44,Auctioneer,Bidder-19
v44,Bidder-19,Auctioneer
v45,Auctioneer,Bidder-19
v46,Auctioneer,Bidder-2
v8,Bidder-14,Auctioneer
v47,Auctioneer,Bidder-14
v3,Bidder-18,Auctioneer
v48,Auctioneer,Bidder-18
v49,Auctioneer,Bidder-14
v50,Auctioneer,Bidder-12
v40,Bidder-0,Auctioneer
v51,Auctioneer,Bidder-0
v52,Auctioneer,Bidder-2
v52,Bidder-2,Auctioneer
v53,Auctioneer,Bidder-2
v54,Auctioneer,Bidder-14
v54,Bidder-14,Auctioneer
v55,Auctioneer,Bidder-14
v56,Auctioneer,Bidder-15
v57,Auctioneer,Bidder-13
v58,Auctioneer,Bidder-13
v59,Auctioneer,Bidder-13
v60,Auctioneer,Bidder-7
v4,Bidder-13,Auctioneer
v61,Auctioneer,Bidder-13
v62,Auctioneer,Bidder-7
v5,Bidder-15,Auctioneer
v63,Auctioneer,Bidder-15
v64,Auctioneer,Bidder-13
v39,Auctioneer,Bidder-15
v41,Auctioneer,Bidder-8
v64,Bidder-13,Auctioneer
v29,Auctioneer,Bidder-13
v44,Auctioneer,Bidder-11
v45,Bidder-19,Auctioneer
v8,Auctioneer,Bidder-19
v41,Bidder-8,Auctioneer
v3,Auctioneer,Bidder-8
v39,Bidder-15,Auctioneer
v40,Auctioneer,Bidder-15
v44,Bidder-11,Auctioneer
v52,Auctioneer,Bidder-11
v54,Auctioneer,Bidder-17
v55,Bidder-14,Auctioneer
v4,Auctioneer,Bidder-14
v52,Bidder-11,Auctioneer
v5,Auctioneer,Bidder-11
v64,Auctioneer,Bidder-17
v64,Bidder-17,Auctioneer
v45,Auctioneer,Bidder-17
v41,Auctioneer,Bidder-8
v39,Auctioneer,Bidder-8
v44,Auctioneer,Bidder-11
v41,Bidder-8,Auctioneer
v55,Auctioneer,Bidder-8
v44,Bidder-11,Auctioneer
v52,Auctioneer,Bidder-11
v64,Auctioneer,Bidder-1
v41,Auctioneer,Bidder-12
v44,Auctioneer,Bidder-12
