Visit,Sender,Receiver
v1,Auctioneer,Bidder-29
v2,Auctioneer,Bidder-28
v3,Auctioneer,Bidder-25
v4,Auctioneer,Bidder-27
v5,Auctioneer,Bidder-29
v6,Auctioneer,Bidder-8
v7,Auctioneer,Bidder-24
v8,Auctioneer,Bidder-26
v9,Auctioneer,Bidder-23
v10,Auctioneer,Bidder-22
v11,Auctioneer,Bidder-21
v12,Auctioneer,Bidder-20
v13,Auctioneer,Bidder-18
v14,Auctioneer,Bidder-19
v15,Auctioneer,Bidder-14
v16,Auctioneer,Bidder-17
v17,Auctioneer,Bidder-16
v18,Auctioneer,Bidder-15
v19,Auctioneer,Bidder-10
v20,Auctioneer,Bidder-12
v21,Auctioneer,Bidder-17
v22,Auctioneer,Bidder-9
v23,Auctioneer,Bidder-13
v24,Auctioneer,Bidder-11
v25,Auctioneer,Bidder-5
v26,Auctioneer,Bidder-4
v27,Auctioneer,Bidder-7
v28,Auctioneer,Bidder-6
v29,Auctioneer,Bidder-3
v30,Auctioneer,Bidder-1
v31,Auctioneer,Bidder-2
v32,Auctioneer,Bidder-0
v33,Auctioneer,Bidder-28
v34,Auctioneer,Bidder-22
v35,Auctioneer,Bidder-10
v36,Auctioneer,Bidder-12
v2,Bidder-28,Auctioneer
v37,Auctioneer,Bidder-28
v38,Auctioneer,Bidder-28
v39,Auctioneer,Bidder-1
v40,Auctioneer,Bidder-15
v41,Auctioneer,Bidder-11
v42,Auctioneer,Bidder-3
v43,Auctioneer,Bidder-6
v44,Auctioneer,Bidder-23
v20,Bidder-12,Auctioneer
v45,Auctioneer,Bidder-12
v46,Auctioneer,Bidder-12
v9,Bidder-23,Auctioneer
v47,Auctioneer,Bidder-23
v29,Bidder-3,Auctioneer
v48,Auctioneer,Bidder-3
v24,Bidder-11,Auctioneer
v49,Auctioneer,Bidder-11
v50,Auctioneer,Bidder-9
v51,Auctioneer,Bidder-3
v38,Bidder-28,Auctioneer
v52,Auctioneer,Bidder-28
v53,Auctioneer,Bidder-11
v54,Auctioneer,Bidder-18
v55,Auctioneer,Bidder-27
v56,Auctioneer,Bidder-0
v4,Bidder-27,Auctioneer
v57,Auctioneer,Bidder-27
v56,Bidder-0,Auctioneer
v58,Auctioneer,Bidder-0
v59,Auctioneer,Bidder-27
v32,Bidder-0,Auctioneer
v60,Auctioneer,Bidder-0
v52,Bidder-28,Auctioneer
v2,Auctioneer,Bidder-28
v20,Auctioneer,Bidder-12
v9,Auctioneer,Bidder-24
v29,Auctioneer,Bidder-20
v24,Auctioneer,Bidder-23
v38,Auctioneer,Bidder-2
v4,Auctioneer,Bidder-0
v56,Auctioneer,Bidder-19
v56,Bidder-19,Auctioneer
v32,Auctioneer,Bidder-19
v20,Bidder-12,Auctioneer
v52,Auctioneer,Bidder-12
v56,Auctioneer,Bidder-7
v7,Bidder-24,Auctioneer
v20,Auctioneer,Bidder-24
v7,Auctioneer,Bidder-24
