Visit,Sender,Receiver
v0,Auctioneer,Bidder-25
v1,Auctioneer,Bidder-27
v2,Auctioneer,Bidder-17
v3,Auctioneer,Bidder-26
v4,Auctioneer,Bidder-23
v5,Auctioneer,Bidder-22
v6,Auctioneer,Bidder-16
v7,Auctioneer,Bidder-24
v8,Auctioneer,Bidder-21
v9,Auctioneer,Bidder-20
v10,Auctioneer,Bidder-24
v11,Auctioneer,Bidder-19
v12,Auctioneer,Bidder-18
v13,Auctioneer,Bidder-14
v14,Auctioneer,Bidder-15
v15,Auctioneer,Bidder-11
v16,Auctioneer,Bidder-13
v17,Auctioneer,Bidder-9
v18,Auctioneer,Bidder-8
v19,Auctioneer,Bidder-10
v20,Auctioneer,Bidder-12
v21,Auctioneer,Bidder-5
v22,Auctioneer,Bidder-7
v23,Auctioneer,Bidder-4
v24,Auctioneer,Bidder-6
v25,Auctioneer,Bidder-3
v26,Auctioneer,Bidder-2
v27,Auctioneer,Bidder-1
v28,Auctioneer,Bidder-0
v29,Auctioneer,Bidder-6
v30,Auctioneer,Bidder-10
v31,Auctioneer,Bidder-16
v32,Auctioneer,Bidder-22
v33,Auctioneer,Bidder-0
v34,Auctioneer,Bidder-21
v35,Auctioneer,Bidder-4
v36,Auctioneer,Bidder-1
v37,Auctioneer,Bidder-16
v38,Auctioneer,Bidder-9
v39,Auctioneer,Bidder-8
v23,Bidder-4,Auctioneer
v40,Auctioneer,Bidder-4
v41,Auctioneer,Bidder-27
v42,Auctioneer,Bidder-4
v43,Auctioneer,Bidder-26
v44,Auctioneer,Bidder-13
v45,Auctioneer,Bidder-19
v46,Auctioneer,Bidder-25
v47,Auctioneer,Bidder-18
v34,Bidder-21,Auctioneer
v48,Auctioneer,Bidder-21
v49,Auctioneer,Bidder-15
v50,Auctioneer,Bidder-17
v51,Auctioneer,Bidder-4
v52,Auctioneer,Bidder-25
v52,Bidder-25,Auctioneer
v53,Auctioneer,Bidder-25
v54,Auctioneer,Bidder-6
v55,Auctioneer,Bidder-2
v55,Bidder-2,Auctioneer
v56,Auctioneer,Bidder-2
v57,Auctioneer,Bidder-14
v18,Bidder-8,Auctioneer
v58,Auctioneer,Bidder-8
v19,Bidder-10,Auctioneer
v59,Auctioneer,Bidder-10
v57,Bidder-14,Auctioneer
v60,Auctioneer,Bidder-14
v23,Auctioneer,Bidder-7
v53,Bidder-25,Auctioneer
v34,Auctioneer,Bidder-25
v56,Bidder-2,Auctioneer
v52,Auctioneer,Bidder-2
v55,Auctioneer,Bidder-8
v55,Bidder-8,Auctioneer
v18,Auctioneer,Bidder-8
v19,Auctioneer,Bidder-23
v57,Auctioneer,Bidder-5
v57,Bidder-5,Auctioneer
v53,Auctioneer,Bidder-5
v56,Auctioneer,Bidder-19
v55,Auctioneer,Bidder-12
v57,Auctioneer,Bidder-20
