Visit,Sender,Receiver
v1,Auctioneer,Bidder-12
v2,Auctioneer,Bidder-13
v3,Auctioneer,Bidder-14
v4,Auctioneer,Bidder-10
v5,Auctioneer,Bidder-12
v6,Auctioneer,Bidder-11
v7,Auctioneer,Bidder-7
v8,Auctioneer,Bidder-9
v9,Auctioneer,Bidder-5
v10,Auctioneer,Bidder-8
v11,Auctioneer,Bidder-3
v12,Auctioneer,Bidder-6
v13,Auctioneer,Bidder-4
v14,Auctioneer,Bidder-0
v15,Auctioneer,Bidder-2
v16,Auctioneer,Bidder-1
v17,Auctioneer,Bidder-1
v18,Auctioneer,Bidder-14
v19,Auctioneer,Bidder-8
v20,Auctioneer,Bidder-11
v21,Auctioneer,Bidder-5
v18,Bidder-14,Auctioneer
v22,Auctioneer,Bidder-14
v23,Auctioneer,Bidder-7
v24,Auctioneer,Bidder-14
v25,Auctioneer,Bidder-9
v26,Auctioneer,Bidder-6
v27,Auctioneer,Bidder-11
v28,Auctioneer,Bidder-6
v29,Auctioneer,Bidder-13
v30,Auctioneer,Bidder-5
v29,Bidder-13,Auctioneer
v31,Auctioneer,Bidder-13
v32,Auctioneer,Bidder-10
v33,Auctioneer,Bidder-13
v17,Bidder-1,Auctioneer
v34,Auctioneer,Bidder-1
v35,Auctioneer,Bidder-0
v36,Auctioneer,Bidder-14
v37,Auctioneer,Bidder-13
v38,Auctioneer,Bidder-0
v39,Auctioneer,Bidder-11
v40,Auctioneer,Bidder-4
v41,Auctioneer,Bidder-2
v42,Auctioneer,Bidder-0
v43,Auctioneer,Bidder-4
v44,Auctioneer,Bidder-11
v45,Auctioneer,Bidder-7
v46,Auctioneer,Bidder-7
v47,Auctioneer,Bidder-14
v48,Auctioneer,Bidder-9
v49,Auctioneer,Bidder-8
v50,Auctioneer,Bidder-9
v51,Auctioneer,Bidder-5
v38,Bidder-0,Auctioneer
v52,Auctioneer,Bidder-0
v53,Auctioneer,Bidder-9
v54,Auctioneer,Bidder-14
v55,Auctioneer,Bidder-0
v56,Auctioneer,Bidder-1
v57,Auctioneer,Bidder-1
v58,Auctioneer,Bidder-1
v59,Auctioneer,Bidder-0
v60,Auctioneer,Bidder-1
v18,Auctioneer,Bidder-0
v29,Auctioneer,Bidder-1
v18,Bidder-0,Auctioneer
v17,Auctioneer,Bidder-0
v38,Auctioneer,Bidder-3
v38,Bidder-3,Auctioneer
v18,Auctioneer,Bidder-3
v38,Auctioneer,Bidder-3
