Visit,Sender,Receiver
v1,Auctioneer,Bidder-22
v2,Auctioneer,Bidder-24
v3,Auctioneer,Bidder-20
v4,Auctioneer,Bidder-23
v5,Auctioneer,Bidder-21
v6,Auctioneer,Bidder-19
v7,Auctioneer,Bidder-19
v8,Auctioneer,Bidder-17
v9,Auctioneer,Bidder-4
v10,Auctioneer,Bidder-4
v11,Auctioneer,Bidder-18
v12,Auctioneer,Bidder-11
v13,Auctioneer,Bidder-8
v14,Auctioneer,Bidder-16
v15,Auctioneer,Bidder-15
v16,Auctioneer,Bidder-14
v17,Auctioneer,Bidder-12
v18,Auctioneer,Bidder-13
v19,Auctioneer,Bidder-10
v20,Auctioneer,Bidder-9
v21,Auctioneer,Bidder-5
v22,Auctioneer,Bidder-6
v23,Auctioneer,Bidder-7
v24,Auctioneer,Bidder-3
v25,Auctioneer,Bidder-2
v26,Auctioneer,Bidder-1
v27,Auctioneer,Bidder-0
v28,Auctioneer,Bidder-11
v29,Auctioneer,Bidder-11
v30,Auctioneer,Bidder-3
v31,Auctioneer,Bidder-24
v32,Auctioneer,Bidder-22
v33,Auctioneer,Bidder-13
v34,Auctioneer,Bidder-20
v35,Auctioneer,Bidder-15
v3,Bidder-20,Auctioneer
v36,Auctioneer,Bidder-20
v18,Bidder-13,Auctioneer
v37,Auctioneer,Bidder-13
v38,Auctioneer,Bidder-13
v39,Auctioneer,Bidder-3
v40,Auctioneer,Bidder-1
v41,Auctioneer,Bidder-5
v42,Auctioneer,Bidder-8
v43,Auctioneer,Bidder-1
v44,Auctioneer,Bidder-20
v45,Auctioneer,Bidder-9
v46,Auctioneer,Bidder-20
v45,Bidder-9,Auctioneer
v47,Auctioneer,Bidder-9
v48,Auctioneer,Bidder-21
v49,Auctioneer,Bidder-6
v9,Bidder-4,Auctioneer
v50,Auctioneer,Bidder-4
v51,Auctioneer,Bidder-5
v52,Auctioneer,Bidder-5
v53,Auctioneer,Bidder-20
v54,Auctioneer,Bidder-5
v55,Auctioneer,Bidder-15
v56,Auctioneer,Bidder-23
v57,Auctioneer,Bidder-12
v58,Auctioneer,Bidder-14
v59,Auctioneer,Bidder-4
v60,Auctioneer,Bidder-10
v42,Bidder-8,Auctioneer
v61,Auctioneer,Bidder-8
v62,Auctioneer,Bidder-2
v63,Auctioneer,Bidder-7
v64,Auctioneer,Bidder-17
v65,Auctioneer,Bidder-8
v66,Auctioneer,Bidder-0
v67,Auctioneer,Bidder-14
v68,Auctioneer,Bidder-8
v69,Auctioneer,Bidder-18
v27,Bidder-0,Auctioneer
v70,Auctioneer,Bidder-0
v71,Auctioneer,Bidder-17
v72,Auctioneer,Bidder-5
v73,Auctioneer,Bidder-16
v74,Auctioneer,Bidder-23
v14,Bidder-16,Auctioneer
v75,Auctioneer,Bidder-16
v76,Auctioneer,Bidder-16
v77,Auctioneer,Bidder-8
v71,Bidder-17,Auctioneer
v78,Auctioneer,Bidder-17
v79,Auctioneer,Bidder-12
v80,Auctioneer,Bidder-15
v81,Auctioneer,Bidder-18
v80,Bidder-15,Auctioneer
v82,Auctioneer,Bidder-15
v83,Auctioneer,Bidder-0
v84,Auctioneer,Bidder-12
v85,Auctioneer,Bidder-7
v25,Bidder-2,Auctioneer
v86,Auctioneer,Bidder-2
v76,Bidder-16,Auctioneer
v87,Auctioneer,Bidder-16
v88,Auctioneer,Bidder-16
v89,Auctioneer,Bidder-12
v90,Auctioneer,Bidder-17
v91,Auctioneer,Bidder-2
v89,Bidder-12,Auctioneer
v92,Auctioneer,Bidder-12
v72,Bidder-5,Auctioneer
v93,Auctioneer,Bidder-5
v83,Bidder-0,Auctioneer
v94,Auctioneer,Bidder-0
v22,Bidder-6,Auctioneer
v95,Auctioneer,Bidder-6
v96,Auctioneer,Bidder-0
v97,Auctioneer,Bidder-7
v98,Auctioneer,Bidder-0
v99,Auctioneer,Bidder-19
v100,Auctioneer,Bidder-19
v101,Auctioneer,Bidder-6
v102,Auctioneer,Bidder-8
v38,Bidder-13,Auctioneer
v103,Auctioneer,Bidder-13
v104,Auctioneer,Bidder-13
v105,Auctioneer,Bidder-3
v106,Auctioneer,Bidder-19
v107,Auctioneer,Bidder-3
v108,Auctioneer,Bidder-5
v109,Auctioneer,Bidder-5
v110,Auctioneer,Bidder-7
v3,Auctioneer,Bidder-14
v18,Auctioneer,Bidder-7
v45,Auctioneer,Bidder-14
v67,Bidder-14,Auctioneer
v9,Auctioneer,Bidder-14
v104,Bidder-13,Auctioneer
v42,Auctioneer,Bidder-13
v27,Auctioneer,Bidder-1
v1,Bidder-22,Auctioneer
v14,Auctioneer,Bidder-22
v71,Auctioneer,Bidder-1
v80,Auctioneer,Bidder-22
v43,Bidder-1,Auctioneer
v25,Auctioneer,Bidder-1
v76,Auctioneer,Bidder-22
v89,Auctioneer,Bidder-17
v72,Auctioneer,Bidder-14
v83,Auctioneer,Bidder-4
v22,Auctioneer,Bidder-4
v38,Auctioneer,Bidder-18
v67,Auctioneer,Bidder-4
v104,Auctioneer,Bidder-1
v1,Auctioneer,Bidder-20
v2,Bidder-24,Auctioneer
v43,Auctioneer,Bidder-24
v2,Auctioneer,Bidder-18
