Visit,Sender,Receiver
v1,Auctioneer,Bidder-49
v2,Auctioneer,Bidder-48
v3,Auctioneer,Bidder-46
v4,Auctioneer,Bidder-47
v5,Auctioneer,Bidder-46
v6,Auctioneer,Bidder-43
v7,Auctioneer,Bidder-43
v8,Auctioneer,Bidder-45
v9,Auctioneer,Bidder-44
v10,Auctioneer,Bidder-44
v11,Auctioneer,Bidder-42
v12,Auctioneer,Bidder-41
v13,Auctioneer,Bidder-36
v14,Auctioneer,Bidder-40
v15,Auctioneer,Bidder-39
v16,Auctioneer,Bidder-49
v17,Auctioneer,Bidder-20
v18,Auctioneer,Bidder-38
v19,Auctioneer,Bidder-35
v20,Auctioneer,Bidder-36
v21,Auctioneer,Bidder-37
v22,Auctioneer,Bidder-34
v23,Auctioneer,Bidder-33
v24,Auctioneer,Bidder-32
v25,Auctioneer,Bidder-30
v26,Auctioneer,Bidder-29
v27,Auctioneer,Bidder-31
v28,Auctioneer,Bidder-28
v29,Auctioneer,Bidder-24
v30,Auctioneer,Bidder-23
v31,Auctioneer,Bidder-27
v32,Auctioneer,Bidder-26
v33,Auctioneer,Bidder-25
v34,Auctioneer,Bidder-22
v35,Auctioneer,Bidder-25
v36,Auctioneer,Bidder-18
v37,Auctioneer,Bidder-41
v38,Auctioneer,Bidder-21
v39,Auctioneer,Bidder-17
v40,Auctioneer,Bidder-19
v41,Auctioneer,Bidder-15
v42,Auctioneer,Bidder-14
v43,Auctioneer,Bidder-16
v44,Auctioneer,Bidder-13
v45,Auctioneer,Bidder-11
v46,Auctioneer,Bidder-12
v47,Auctioneer,Bidder-11
v48,Auctioneer,Bidder-10
v49,Auctioneer,Bidder-9
v50,Auctioneer,Bidder-8
v51,Auctioneer,Bidder-7
v52,Auctioneer,Bidder-3
v53,Auctioneer,Bidder-6
v54,Auctioneer,Bidder-4
v55,Auctioneer,Bidder-5
v56,Auctioneer,Bidder-2
v57,Auctioneer,Bidder-1
v58,Auctioneer,Bidder-0
v59,Auctioneer,Bidder-10
v60,Auctioneer,Bidder-24
v20,Bidder-36,Auctioneer
v61,Auctioneer,Bidder-36
v62,Auctioneer,Bidder-14
v63,Auctioneer,Bidder-42
v64,Auctioneer,Bidder-34
v65,Auctioneer,Bidder-19
v66,Auctioneer,Bidder-23
v67,Auctioneer,Bidder-13
v68,Auctioneer,Bidder-32
v69,Auctioneer,Bidder-38
v70,Auctioneer,Bidder-12
v71,Auctioneer,Bidder-45
v72,Auctioneer,Bidder-5
v73,Auctioneer,Bidder-48
v74,Auctioneer,Bidder-26
v75,Auctioneer,Bidder-21
v76,Auctioneer,Bidder-28
v77,Auctioneer,Bidder-3
v78,Auctioneer,Bidder-30
v79,Auctioneer,Bidder-16
v80,Auctioneer,Bidder-27
v81,Auctioneer,Bidder-29
v82,Auctioneer,Bidder-15
v83,Auctioneer,Bidder-23
v84,Auctioneer,Bidder-47
v83,Bidder-23,Auctioneer
v85,Auctioneer,Bidder-23
v86,Auctioneer,Bidder-20
v87,Auctioneer,Bidder-33
v88,Auctioneer,Bidder-37
v38,Bidder-21,Auctioneer
v89,Auctioneer,Bidder-21
v90,Auctioneer,Bidder-9
v91,Auctioneer,Bidder-47
v92,Auctioneer,Bidder-1
v93,Auctioneer,Bidder-15
v94,Auctioneer,Bidder-39
v95,Auctioneer,Bidder-8
v96,Auctioneer,Bidder-13
v97,Auctioneer,Bidder-8
v98,Auctioneer,Bidder-13
v99,Auctioneer,Bidder-17
v100,Auctioneer,Bidder-31
v101,Auctioneer,Bidder-6
v101,Bidder-6,Auctioneer
v102,Auctioneer,Bidder-6
v11,Bidder-42,Auctioneer
v103,Auctioneer,Bidder-42
v43,Bidder-16,Auctioneer
v104,Auctioneer,Bidder-16
v105,Auctioneer,Bidder-4
v106,Auctioneer,Bidder-8
v39,Bidder-17,Auctioneer
v107,Auctioneer,Bidder-17
v108,Auctioneer,Bidder-18
v109,Auctioneer,Bidder-35
v77,Bidder-3,Auctioneer
v110,Auctioneer,Bidder-3
v20,Auctioneer,Bidder-18
v102,Bidder-6,Auctioneer
v83,Auctioneer,Bidder-6
v38,Auctioneer,Bidder-7
v101,Auctioneer,Bidder-40
v2,Bidder-48,Auctioneer
v11,Auctioneer,Bidder-48
v43,Auctioneer,Bidder-24
v38,Bidder-7,Auctioneer
v39,Auctioneer,Bidder-7
v77,Auctioneer,Bidder-44
v101,Bidder-40,Auctioneer
v102,Auctioneer,Bidder-40
v2,Auctioneer,Bidder-22
v38,Auctioneer,Bidder-30
v101,Auctioneer,Bidder-48
