Visit,Sender,Receiver
v1,Auctioneer,Bidder-25
v2,Auctioneer,Bidder-26
v3,Auctioneer,Bidder-22
v4,Auctioneer,Bidder-29
v5,Auctioneer,Bidder-28
v6,Auctioneer,Bidder-27
v7,Auctioneer,Bidder-27
v8,Auctioneer,Bidder-24
v9,Auctioneer,Bidder-23
v10,Auctioneer,Bidder-20
v11,Auctioneer,Bidder-23
v12,Auctioneer,Bidder-21
v13,Auctioneer,Bidder-19
v14,Auctioneer,Bidder-18
v15,Auctioneer,Bidder-17
v16,Auctioneer,Bidder-13
v17,Auctioneer,Bidder-16
v18,Auctioneer,Bidder-12
v19,Auctioneer,Bidder-27
v20,Auctioneer,Bidder-11
v21,Auctioneer,Bidder-15
v22,Auctioneer,Bidder-10
v23,Auctioneer,Bidder-14
v24,Auctioneer,Bidder-7
v25,Auctioneer,Bidder-6
v26,Auctioneer,Bidder-8
v27,Auctioneer,Bidder-9
v28,Auctioneer,Bidder-5
v29,Auctioneer,Bidder-0
v30,Auctioneer,Bidder-4
v31,Auctioneer,Bidder-3
v32,Auctioneer,Bidder-2
v33,Auctioneer,Bidder-1
v34,Auctioneer,Bidder-1
v35,Auctioneer,Bidder-25
v36,Auctioneer,Bidder-7
v37,Auctioneer,Bidder-21
v38,Auctioneer,Bidder-1
v39,Auctioneer,Bidder-7
v40,Auctioneer,Bidder-12
v41,Auctioneer,Bidder-1
v42,Auctioneer,Bidder-0
v43,Auctioneer,Bidder-26
v44,Auctioneer,Bidder-19
v45,Auctioneer,Bidder-7
v46,Auctioneer,Bidder-22
v47,Auctioneer,Bidder-7
v9,Bidder-23,Auctioneer
v48,Auctioneer,Bidder-23
v49,Auctioneer,Bidder-25
v50,Auctioneer,Bidder-7
v51,Auctioneer,Bidder-22
v52,Auctioneer,Bidder-12
v53,Auctioneer,Bidder-13
v54,Auctioneer,Bidder-19
v55,Auctioneer,Bidder-22
v56,Auctioneer,Bidder-2
v57,Auctioneer,Bidder-20
v58,Auctioneer,Bidder-16
v59,Auctioneer,Bidder-17
v60,Auctioneer,Bidder-29
v42,Bidder-0,Auctioneer
v61,Auctioneer,Bidder-0
v62,Auctioneer,Bidder-17
v63,Auctioneer,Bidder-23
v64,Auctioneer,Bidder-10
v65,Auctioneer,Bidder-4
v66,Auctioneer,Bidder-10
v67,Auctioneer,Bidder-9
v68,Auctioneer,Bidder-11
v69,Auctioneer,Bidder-5
v70,Auctioneer,Bidder-4
v71,Auctioneer,Bidder-24
v72,Auctioneer,Bidder-27
v73,Auctioneer,Bidder-6
v74,Auctioneer,Bidder-17
v75,Auctioneer,Bidder-8
v26,Bidder-8,Auctioneer
v76,Auctioneer,Bidder-8
v77,Auctioneer,Bidder-3
v78,Auctioneer,Bidder-14
v69,Bidder-5,Auctioneer
v79,Auctioneer,Bidder-5
v25,Bidder-6,Auctioneer
v80,Auctioneer,Bidder-6
v81,Auctioneer,Bidder-6
v82,Auctioneer,Bidder-16
v83,Auctioneer,Bidder-7
v84,Auctioneer,Bidder-29
v77,Bidder-3,Auctioneer
v85,Auctioneer,Bidder-3
v10,Bidder-20,Auctioneer
v86,Auctioneer,Bidder-20
v87,Auctioneer,Bidder-28
v88,Auctioneer,Bidder-15
v21,Bidder-15,Auctioneer
v89,Auctioneer,Bidder-15
v90,Auctioneer,Bidder-18
v91,Auctioneer,Bidder-20
v92,Auctioneer,Bidder-22
v93,Auctioneer,Bidder-16
v94,Auctioneer,Bidder-9
v95,Auctioneer,Bidder-9
v83,Bidder-7,Auctioneer
v96,Auctioneer,Bidder-7
v97,Auctioneer,Bidder-9
v98,Auctioneer,Bidder-19
v29,Bidder-0,Auctioneer
v99,Auctioneer,Bidder-0
v100,Auctioneer,Bidder-9
v101,Auctioneer,Bidder-6
v102,Auctioneer,Bidder-4
v101,Bidder-6,Auctioneer
v103,Auctioneer,Bidder-6
v104,Auctioneer,Bidder-5
v105,Auctioneer,Bidder-11
v106,Auctioneer,Bidder-0
v16,Bidder-13,Auctioneer
v107,Auctioneer,Bidder-13
v108,Auctioneer,Bidder-19
v109,Auctioneer,Bidder-6
v110,Auctioneer,Bidder-14
v9,Auctioneer,Bidder-3
v42,Auctioneer,Bidder-21
v26,Auctioneer,Bidder-3
v104,Bidder-5,Auctioneer
v69,Auctioneer,Bidder-5
v25,Auctioneer,Bidder-14
v77,Auctioneer,Bidder-19
v10,Auctioneer,Bidder-9
v3,Bidder-22,Auctioneer
v21,Auctioneer,Bidder-22
v77,Bidder-19,Auctioneer
v83,Auctioneer,Bidder-19
v29,Auctioneer,Bidder-4
v101,Auctioneer,Bidder-15
v87,Bidder-28,Auctioneer
v16,Auctioneer,Bidder-28
v104,Auctioneer,Bidder-14
v3,Auctioneer,Bidder-4
v77,Auctioneer,Bidder-4
v77,Bidder-4,Auctioneer
v87,Auctioneer,Bidder-4
v77,Auctioneer,Bidder-13
